"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.390333334E-2,-1.148104072E0,-1.149708480E-1,1.337350488E0
3.375633335E-2,-1.206598282E0,-3.263504803E-1,1.185012817E0
5.360933335E-2,-1.256943703E0,-3.913306296E-1,9.912934899E-1
7.346133335E-2,-1.256333709E0,-3.129998744E-1,7.745890021E-1
9.331433335E-2,-1.177435637E0,-1.921542436E-1,5.936089754E-1
1.131673334E-1,-1.037936091E0,-8.790276200E-2,4.743364453E-1
1.330193334E-1,-8.468254805E-1,1.724080555E-2,4.158157408E-1
1.528723334E-1,-6.726885438E-1,1.518684924E-1,3.833802938E-1
1.727253333E-1,-5.256792903E-1,3.172900975E-1,3.428584635E-1
1.925773334E-1,-4.032958448E-1,4.512512684E-1,3.085052073E-1
2.124303333E-1,-3.119992316E-1,5.319342613E-1,2.688831091E-1
2.322833750E-1,-2.549951673E-1,5.506069660E-1,2.152243257E-1
2.521353750E-1,-2.185079008E-1,4.959696531E-1,1.607425660E-1
2.719883750E-1,-2.082195431E-1,3.873316646E-1,1.174321100E-1
2.918413750E-1,-2.101238072E-1,3.162657619E-1,5.513457954E-2
3.116943750E-1,-2.310177982E-1,3.069598973E-1,-5.822859239E-3
3.315463750E-1,-2.583055794E-1,3.440684080E-1,-4.475436732E-2
3.513993750E-1,-3.099137843E-1,3.648885190E-1,-9.425778687E-2
3.712523750E-1,-3.207381368E-1,2.429318726E-1,-5.947068334E-2
3.911043750E-1,-2.412644327E-1,7.299291342E-2,1.071368828E-1
4.109573750E-1,-1.390816420E-1,9.159937501E-2,3.480061591E-1
4.308103750E-1,-1.398333311E-1,3.213648200E-1,6.032320857E-1
4.506623750E-1,-1.542469710E-1,5.233821273E-1,9.266833663E-1
4.705153750E-1,-1.143810675E-1,5.229004025E-1,1.269149423E0
4.903683750E-1,-3.454225138E-2,3.979455233E-1,1.574770212E0
5.102203750E-1,2.938858932E-3,3.906829059E-1,1.857585788E0
5.300733750E-1,5.734176375E-3,6.443317533E-1,2.147196293E0
5.499263750E-1,4.060065374E-2,1.069942951E0,2.500490189E0
5.697783750E-1,6.434203684E-2,1.518117547E0,2.865446568E0
5.896313750E-1,8.930325508E-2,1.870125294E0,3.251307726E0
6.094843750E-1,6.362729520E-2,2.172003746E0,3.579669714E0
6.293363750E-1,-3.016837873E-2,2.422688484E0,3.683933496E0
6.491893750E-1,-1.926989257E-1,2.589127064E0,3.647200584E0
6.690423750E-1,-4.039384127E-1,2.692347288E0,3.455600023E0
6.888943750E-1,-6.123780608E-1,2.827656507E0,3.110587358E0
7.087473750E-1,-8.600795865E-1,2.900353193E0,2.627762794E0
7.286003750E-1,-1.114236236E0,2.757227182E0,2.121788502E0
7.484523750E-1,-1.357897162E0,2.462726116E0,1.651706338E0
7.683053750E-1,-1.555157900E0,2.135131836E0,1.247673035E0
7.881583750E-1,-1.700673342E0,1.706905961E0,9.959533811E-1
8.080103750E-1,-1.769533038E0,1.249554753E0,7.988686562E-1
8.278633750E-1,-1.781185985E0,8.970839977E-1,5.586949587E-1
8.477163750E-1,-1.731879234E0,6.681547165E-1,3.028635979E-1
8.675693750E-1,-1.536093950E0,5.837329626E-1,6.012189761E-2
8.874213750E-1,-1.259519577E0,7.211502194E-1,-2.242328078E-1
9.072743750E-1,-9.768214226E-1,9.597256780E-1,-5.324990749E-1
9.271273750E-1,-7.068061829E-1,1.187058926E0,-8.716532588E-1
9.469793750E-1,-3.792125881E-1,1.245245695E0,-1.223908544E0
9.668323750E-1,-4.328864813E-2,1.156578302E0,-1.515694976E0
9.866853750E-1,2.062145323E-1,9.844957590E-1,-1.704581738E0
1.006537375E0,3.203266263E-1,8.734354973E-1,-1.763785481E0
1.026390375E0,3.157033324E-1,7.949682474E-1,-1.668737888E0
1.046243375E0,3.099532425E-1,7.359955907E-1,-1.396166444E0
1.066095375E0,2.974058986E-1,6.605350971E-1,-9.432325363E-1
1.085948375E0,2.890097201E-1,5.283714533E-1,-2.999613583E-1
1.105801375E0,2.182778567E-1,2.693328559E-1,3.806858659E-1
1.125653375E0,1.056014970E-1,-6.667043269E-2,9.460846782E-1
1.145506375E0,-1.005164697E-3,-4.382752478E-1,1.374968410E0
1.165359375E0,-1.384041905E-1,-7.528922558E-1,1.634467721E0
1.185211375E0,-2.728786767E-1,-9.397351742E-1,1.746537328E0
1.205064375E0,-3.820635080E-1,-9.589868188E-1,1.715569615E0
1.224917375E0,-4.631144106E-1,-8.368256092E-1,1.624138236E0
1.244770000E0,-5.359263420E-1,-6.370915771E-1,1.471732736E0
1.264623000E0,-6.038168073E-1,-3.824073672E-1,1.239338279E0
1.284476000E0,-6.563526988E-1,-1.168722957E-1,9.704064727E-1
1.304328000E0,-6.882869005E-1,1.498107612E-1,7.073646188E-1
1.324181000E0,-6.407779455E-1,4.159275293E-1,3.838612139E-1
1.344034000E0,-5.683730841E-1,6.018379927E-1,2.541115880E-2
1.363886000E0,-4.836679101E-1,7.213385105E-1,-3.561201096E-1
1.383739000E0,-3.088820577E-1,7.916362882E-1,-6.780450940E-1
1.403592000E0,-1.099459380E-1,8.244850039E-1,-9.379999638E-1
