"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.390333334E-2,-2.144624215E0,-7.726575083E-1,-6.671906948E-2
3.375633335E-2,-2.066917643E0,-5.464293194E-1,-2.045607466E-1
5.360933335E-2,-2.007136295E0,-1.587823105E-1,-2.542971629E-1
7.346133335E-2,-2.033698441E0,8.688787043E-2,-2.645005542E-1
9.331433335E-2,-2.279450776E0,4.251218140E-2,-1.703650600E-1
1.131673334E-1,-2.530132605E0,-4.370764464E-2,-8.026472926E-3
1.330193334E-1,-2.429766610E0,-2.005703142E-1,-7.163190007E-2
1.528723334E-1,-1.871884350E0,-1.059731823E-1,-2.669780195E-1
1.727253333E-1,-1.128572847E0,1.446454972E-1,-6.120111054E-1
1.925773334E-1,-4.223452637E-1,4.990322278E-1,-1.103864853E0
2.124303333E-1,7.309019566E-3,8.077943042E-1,-1.485599157E0
2.322833750E-1,2.629691684E-1,1.068072584E0,-1.810165819E0
2.521353750E-1,3.449406999E-1,1.386711485E0,-1.932508866E0
2.719883750E-1,3.020086884E-1,1.666402520E0,-1.994674124E0
2.918413750E-1,3.369089645E-1,2.003464097E0,-2.009016175E0
3.116943750E-1,2.251873845E-1,2.243872076E0,-1.923186066E0
3.315463750E-1,-6.737395763E-2,2.344670911E0,-1.716660655E0
3.513993750E-1,-6.827741092E-1,2.435923875E0,-1.243252534E0
3.712523750E-1,-1.886477246E0,2.083796947E0,-6.424680823E-1
3.911043750E-1,-3.009702814E0,1.488401435E0,-1.970383036E-1
4.109573750E-1,-2.716572538E0,1.127370660E0,2.172334170E-1
4.308103750E-1,-1.422689549E0,1.457101290E0,5.045720261E-1
4.506623750E-1,-7.304692626E-2,1.639558977E0,7.944378018E-1
4.705153750E-1,4.988592964E-1,1.784512622E0,1.731529539E0
4.903683750E-1,4.541321898E-1,2.325950904E0,2.538478628E0
5.102203750E-1,1.284130418E-1,2.802541519E0,3.172292247E0
5.300733750E-1,-6.344591510E-1,3.391975062E0,3.443472660E0
5.499263750E-1,-2.271259119E0,3.137161298E0,3.648752030E0
5.697783750E-1,-4.093531598E0,2.720079113E0,3.688631794E0
5.896313750E-1,-5.100977034E0,1.496234950E0,2.959049554E0
6.094843750E-1,-4.723294850E0,5.944367141E-1,1.606637691E0
6.293363750E-1,-3.551435065E0,-5.703415078E-1,2.505847657E-1
6.491893750E-1,-2.166576417E0,-1.554409776E0,-1.173446719E0
6.690423750E-1,-5.719910073E-1,-2.595570842E0,-2.393315068E0
6.888943750E-1,1.090513321E0,-3.441865845E0,-3.516524849E0
7.087473750E-1,1.927255728E0,-3.846109591E0,-4.262239557E0
7.286003750E-1,4.546192628E-1,-5.029732220E0,-4.741117163E0
7.484523750E-1,-8.694686884E-1,-6.224998993E0,-5.221602169E0
7.683053750E-1,-1.787778000E0,-6.766165234E0,-5.591920955E0
7.881583750E-1,-2.192243355E0,-7.671877888E0,-5.567088414E0
8.080103750E-1,-2.420490587E0,-8.533727070E0,-4.932735683E0
8.278633750E-1,-1.991289171E0,-8.960397812E0,-3.872957082E0
8.477163750E-1,-1.266941943E0,-8.935840091E0,-2.688363816E0
8.675693750E-1,-5.451394236E-1,-8.751197884E0,-1.638613189E0
8.874213750E-1,3.097620964E-1,-8.012059540E0,-2.934296536E-1
9.072743750E-1,9.697607160E-1,-6.432447680E0,1.231363390E0
9.271273750E-1,1.241122978E0,-4.357630448E0,2.652073072E0
9.469793750E-1,5.887198913E-1,-2.531892909E0,3.864142404E0
9.668323750E-1,-4.041080904E-1,-7.702911401E-1,5.007053794E0
9.866853750E-1,-1.277870974E0,1.583504936E0,6.085128917E0
1.006537375E0,-2.064955902E0,4.077597350E0,6.896876816E0
1.026390375E0,-3.045940349E0,6.393689411E0,7.108244891E0
1.046243375E0,-4.093825128E0,8.151134394E0,6.811133246E0
1.066095375E0,-4.858153862E0,9.425897573E0,5.922000371E0
1.085948375E0,-5.507819867E0,9.952799531E0,4.664369534E0
