"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.794999989E-3,2.098635864E0,5.531147919E0,7.748337250E0
3.179899999E-2,2.060016174E0,5.563480682E0,7.776478729E0
5.180099997E-2,2.050436096E0,5.599855042E0,7.765701141E0
7.180399995E-2,2.061812439E0,5.608986053E0,7.772586823E0
9.180599998E-2,2.067500610E0,5.652395782E0,7.776478729E0
1.118090000E-1,2.096989288E0,5.644911346E0,7.816445618E0
1.318110000E-1,2.101180573E0,5.690716095E0,7.796836395E0
1.518140000E-1,2.073488159E0,5.688919830E0,7.853418732E0
1.718170000E-1,2.127376099E0,5.670957184E0,7.867339783E0
1.918190000E-1,2.146685944E0,5.710025940E0,7.888595581E0
2.118220000E-1,2.126927032E0,5.713768158E0,7.908653870E0
2.318240000E-1,2.124981079E0,5.684279480E0,8.001011810E0
2.518270000E-1,2.124831390E0,5.625302124E0,7.960895233E0
2.718290000E-1,2.102378082E0,5.580096130E0,7.904163208E0
2.918320000E-1,2.100282440E0,5.591921539E0,7.848928070E0
3.118346250E-1,2.124532013E0,5.613027649E0,7.835456085E0
3.318366250E-1,2.160906372E0,5.626499634E0,7.765701141E0
3.518396250E-1,2.148931274E0,5.610782318E0,7.741301880E0
3.718416250E-1,2.129322052E0,5.582491150E0,7.732619934E0
3.918446250E-1,2.130220184E0,5.561385040E0,7.707921295E0
4.118476250E-1,2.122436371E0,5.570665741E0,7.683971100E0
4.318496250E-1,2.111209717E0,5.598058777E0,7.686216431E0
4.518526249E-1,2.149230652E0,5.637726288E0,7.690707092E0
4.718546250E-1,2.180515594E0,5.654641113E0,7.772137756E0
4.918576250E-1,2.231110382E0,5.600004730E0,7.826175385E0
5.118606249E-1,2.270478516E0,5.626499634E0,7.948022003E0
5.318626250E-1,2.317480774E0,5.648952942E0,8.079149323E0
5.518656250E-1,2.430645447E0,5.726342010E0,8.296347656E0
5.718676250E-1,2.629881134E0,5.620362396E0,8.627309418E0
5.918706250E-1,2.935994568E0,5.402116241E0,8.861871643E0
6.118726250E-1,3.245999908E0,5.094356232E0,8.895551605E0
6.318756250E-1,3.310366058E0,4.736899567E0,8.768465881E0
6.518786250E-1,3.327430573E0,4.567302246E0,8.590336304E0
6.718806250E-1,3.254232788E0,4.474345551E0,8.295000458E0
6.918836250E-1,3.270997925E0,4.392016754E0,8.016729126E0
7.118856250E-1,3.237767029E0,4.208648071E0,7.853269043E0
7.318886250E-1,3.271896057E0,4.036805420E0,7.757767639E0
7.518916250E-1,3.207978973E0,3.902834015E0,7.715405731E0
7.718936250E-1,3.081192627E0,3.827540588E0,7.806865540E0
7.918966250E-1,2.893932037E0,3.753744049E0,7.953560486E0
8.118986250E-1,2.795137482E0,3.759432220E0,8.097411346E0
8.319016250E-1,2.678230591E0,3.929328918E0,8.244405670E0
8.519046250E-1,2.565514984E0,4.169130249E0,8.454568634E0
8.719066250E-1,2.487826538E0,4.301754456E0,8.582552490E0
8.919096250E-1,2.390828247E0,4.413122864E0,8.645721130E0
9.119116249E-1,2.347717896E0,4.572391663E0,8.592731323E0
9.319146250E-1,2.284249878E0,4.875661011E0,8.481213226E0
9.519176250E-1,2.251018982E0,5.207520905E0,8.493936768E0
9.719196249E-1,2.255809021E0,5.506898346E0,8.464747467E0
9.919226250E-1,2.218386841E0,5.689368896E0,8.186625824E0
1.011924625E0,2.168390808E0,5.942642212E0,7.666607208E0
1.031927625E0,2.061363373E0,6.380032654E0,7.343279572E0
1.051929625E0,1.966161346E0,6.862928467E0,7.121590576E0
1.071932625E0,1.988614655E0,7.215445404E0,7.032076721E0
1.091935625E0,2.098186798E0,7.477849731E0,6.943161621E0
1.111937625E0,2.243684235E0,7.536976776E0,6.857689362E0
1.131940625E0,2.403252411E0,7.419321442E0,6.815926208E0
1.151942625E0,2.542013855E0,7.318431244E0,6.674769745E0
1.171945625E0,2.683918762E0,7.181915131E0,6.701564026E0
1.191948625E0,2.699636078E0,6.891369324E0,6.739884338E0
1.211950625E0,2.732118530E0,6.792125702E0,6.525679779E0
1.231953625E0,2.829116821E0,6.540498962E0,6.473438416E0
1.251955625E0,2.947071533E0,6.256988525E0,6.358327789E0
1.271958625E0,3.038231964E0,6.140381012E0,6.406826935E0
1.291961625E0,3.163970490E0,6.102509766E0,6.461613007E0
1.311963833E0,3.233126678E0,6.028114471E0,6.415059814E0
1.331966833E0,3.325783997E0,6.038143616E0,6.239924011E0
1.351969833E0,3.358416138E0,6.113287354E0,6.101162567E0
1.371971833E0,3.441792755E0,6.223607941E0,6.098318481E0
1.391974833E0,3.593577118E0,6.348298645E0,6.175857239E0
1.411976833E0,3.800147552E0,6.525380402E0,6.161936188E0
1.431979833E0,3.985312500E0,6.709796906E0,6.216123505E0
1.451982833E0,4.137096863E0,6.775061188E0,6.309828644E0
1.471984833E0,3.982169037E0,6.789880371E0,6.585106201E0
1.491987833E0,3.830085297E0,6.774013367E0,7.070397034E0
1.511989833E0,3.544928284E0,6.513255615E0,7.666008453E0
