"Time (s)","Distance (cm)"
2.240458329E-3,5.000000000E0
1.473841665E-2,0.000000000E0
3.132199997E-2,5.000000000E0
1.751493375E0,0.000000000E0
1.771493375E0,0.000000000E0
1.791493375E0,0.000000000E0
1.811493375E0,0.000000000E0
1.831493375E0,0.000000000E0
1.851493375E0,0.000000000E0
1.871493375E0,0.000000000E0
1.891493375E0,0.000000000E0
1.911493375E0,0.000000000E0
1.931493375E0,0.000000000E0
1.951493375E0,0.000000000E0
1.971493375E0,0.000000000E0
1.991493375E0,0.000000000E0
2.011493375E0,0.000000000E0
2.031493375E0,0.000000000E0
2.051493375E0,0.000000000E0
2.071493375E0,0.000000000E0
2.091493375E0,0.000000000E0
2.111493375E0,0.000000000E0
2.131493375E0,0.000000000E0
2.151493375E0,0.000000000E0
2.171493375E0,0.000000000E0
2.191493375E0,0.000000000E0
2.211493375E0,0.000000000E0
2.231493375E0,0.000000000E0
2.251493375E0,0.000000000E0
2.271493375E0,0.000000000E0
2.291493375E0,0.000000000E0
2.311493375E0,0.000000000E0
2.331493375E0,0.000000000E0
2.351493375E0,0.000000000E0
2.371493375E0,0.000000000E0
2.391493375E0,0.000000000E0
2.411493375E0,0.000000000E0
2.431493375E0,0.000000000E0
2.451493375E0,0.000000000E0
2.471493375E0,0.000000000E0
2.491493375E0,0.000000000E0
2.511493375E0,0.000000000E0
2.531493375E0,0.000000000E0
2.551493375E0,0.000000000E0
2.571493375E0,0.000000000E0
2.591493375E0,0.000000000E0
2.611493375E0,0.000000000E0
2.631493375E0,0.000000000E0
2.651493375E0,0.000000000E0
2.671493375E0,0.000000000E0
2.691493375E0,0.000000000E0
2.711493375E0,0.000000000E0
2.731493375E0,0.000000000E0
2.751493375E0,0.000000000E0
2.771493375E0,0.000000000E0
2.791493375E0,0.000000000E0
2.811493375E0,0.000000000E0
2.831493375E0,0.000000000E0
2.851493375E0,0.000000000E0
2.871493375E0,0.000000000E0
2.891493375E0,5.000000000E0
2.911493375E0,5.000000000E0
2.931493375E0,5.000000000E0
2.951493375E0,5.000000000E0
2.971493375E0,5.000000000E0
2.991493375E0,5.000000000E0
3.011493375E0,5.000000000E0
3.031493375E0,5.000000000E0
3.051493375E0,5.000000000E0
3.071493375E0,5.000000000E0
3.091493375E0,5.000000000E0
3.111493375E0,5.000000000E0
3.131493375E0,5.000000000E0
3.151493375E0,5.000000000E0
3.171493375E0,5.000000000E0
3.191493375E0,5.000000000E0
3.211493375E0,5.000000000E0
3.231493375E0,5.000000000E0
3.251493375E0,5.000000000E0
3.271493375E0,5.000000000E0
3.291493375E0,0.000000000E0
3.311493375E0,0.000000000E0
3.331493375E0,0.000000000E0
3.351493375E0,0.000000000E0
3.371493375E0,0.000000000E0
3.391493375E0,0.000000000E0
3.411493375E0,0.000000000E0
3.431493375E0,0.000000000E0
3.451493375E0,0.000000000E0
3.471493375E0,0.000000000E0
3.491493375E0,0.000000000E0
3.511493375E0,0.000000000E0
3.531493375E0,0.000000000E0
3.551493375E0,0.000000000E0
3.571493375E0,0.000000000E0
3.591493375E0,0.000000000E0
3.611493375E0,0.000000000E0
3.631493375E0,0.000000000E0
3.651493375E0,0.000000000E0
3.671493375E0,0.000000000E0
3.691493375E0,0.000000000E0
3.711493375E0,0.000000000E0
3.731493375E0,0.000000000E0
3.751493375E0,0.000000000E0
3.771493375E0,0.000000000E0
3.791493375E0,0.000000000E0
3.811493375E0,0.000000000E0
3.831493375E0,0.000000000E0
3.851493375E0,0.000000000E0
3.871493375E0,0.000000000E0
3.891493375E0,0.000000000E0
3.911493375E0,0.000000000E0
3.931493375E0,0.000000000E0
3.951493375E0,0.000000000E0
3.971493375E0,0.000000000E0
3.991493375E0,0.000000000E0
4.011493375E0,0.000000000E0
4.031493375E0,0.000000000E0
4.051493375E0,0.000000000E0
4.071493375E0,0.000000000E0
4.091493375E0,0.000000000E0
4.111493375E0,0.000000000E0
4.131493375E0,0.000000000E0
4.151493375E0,0.000000000E0
4.171493375E0,0.000000000E0
4.191493375E0,0.000000000E0
4.211493375E0,0.000000000E0
4.231493375E0,0.000000000E0
4.251493375E0,0.000000000E0
4.271493375E0,0.000000000E0
4.291493375E0,0.000000000E0
4.311493375E0,0.000000000E0
4.331493375E0,0.000000000E0
4.351493375E0,0.000000000E0
4.371493375E0,0.000000000E0
4.391493375E0,0.000000000E0
4.411493375E0,0.000000000E0
4.431493375E0,0.000000000E0
4.451493375E0,0.000000000E0
4.471493375E0,0.000000000E0
4.491493375E0,0.000000000E0
4.511493375E0,0.000000000E0
4.531493375E0,0.000000000E0
4.551493375E0,0.000000000E0
4.571493375E0,0.000000000E0
4.591493375E0,0.000000000E0
4.611493375E0,0.000000000E0
4.631493375E0,0.000000000E0
4.651493375E0,0.000000000E0
4.671493375E0,0.000000000E0
4.691493375E0,0.000000000E0
4.711493375E0,0.000000000E0
4.731493375E0,0.000000000E0
4.751493375E0,0.000000000E0
4.771493375E0,0.000000000E0
4.791493375E0,0.000000000E0
4.811493375E0,0.000000000E0
4.831493375E0,0.000000000E0
4.851493375E0,0.000000000E0
4.871493375E0,0.000000000E0
4.891493375E0,0.000000000E0
4.911493375E0,0.000000000E0
4.931493375E0,0.000000000E0
4.951493375E0,0.000000000E0
4.971493375E0,0.000000000E0
4.991493375E0,5.000000000E0
5.011493375E0,5.000000000E0
5.031493375E0,5.000000000E0
5.051493375E0,5.000000000E0
5.071493375E0,5.000000000E0
5.091493375E0,5.000000000E0
5.111493375E0,5.000000000E0
5.131493375E0,5.000000000E0
5.151493375E0,5.000000000E0
5.171493375E0,5.000000000E0
5.191493375E0,5.000000000E0
5.211493375E0,5.000000000E0
5.231493375E0,5.000000000E0
5.251493375E0,5.000000000E0
5.271493375E0,5.000000000E0
5.291493375E0,5.000000000E0
5.311493375E0,0.000000000E0
5.331493375E0,0.000000000E0
5.351493375E0,0.000000000E0
5.371493375E0,0.000000000E0
5.391493375E0,5.000000000E0
5.411493375E0,5.000000000E0
5.431493375E0,5.000000000E0
5.451493375E0,5.000000000E0
5.471493375E0,5.000000000E0
5.491493375E0,5.000000000E0
5.511493375E0,0.000000000E0
5.531493375E0,0.000000000E0
5.551493375E0,0.000000000E0
5.571493375E0,0.000000000E0
5.591493375E0,0.000000000E0
5.611493375E0,0.000000000E0
5.631493375E0,0.000000000E0
5.651493375E0,0.000000000E0
5.671493375E0,0.000000000E0
5.691493375E0,0.000000000E0
5.711493375E0,0.000000000E0
5.731493375E0,0.000000000E0
5.751493375E0,0.000000000E0
5.771493375E0,0.000000000E0
5.791493375E0,0.000000000E0
5.811493375E0,0.000000000E0
5.831493375E0,0.000000000E0
5.851493375E0,0.000000000E0
5.871493375E0,0.000000000E0
5.891493375E0,0.000000000E0
5.911493375E0,0.000000000E0
5.931493375E0,0.000000000E0
5.951493375E0,0.000000000E0
5.971493375E0,0.000000000E0
5.991493375E0,0.000000000E0
6.011493375E0,0.000000000E0
6.031493375E0,0.000000000E0
6.051493375E0,0.000000000E0
6.071493375E0,0.000000000E0
6.091493375E0,0.000000000E0
6.111493375E0,0.000000000E0
6.131493375E0,0.000000000E0
6.151493375E0,0.000000000E0
6.171493375E0,0.000000000E0
6.191493375E0,0.000000000E0
6.211493375E0,0.000000000E0
6.231493375E0,0.000000000E0
6.251493375E0,0.000000000E0
6.271493375E0,0.000000000E0
6.291493375E0,0.000000000E0
6.311493375E0,0.000000000E0
6.331493375E0,0.000000000E0
6.351493375E0,0.000000000E0
6.371493375E0,0.000000000E0
6.391493375E0,0.000000000E0
6.411493375E0,0.000000000E0
6.431493375E0,0.000000000E0
6.451493375E0,0.000000000E0
6.471493375E0,0.000000000E0
6.491493375E0,0.000000000E0
6.511493375E0,0.000000000E0
6.531493375E0,0.000000000E0
6.551493375E0,0.000000000E0
6.571493375E0,0.000000000E0
6.591493375E0,0.000000000E0
6.611493375E0,0.000000000E0
6.631493375E0,0.000000000E0
6.651493375E0,0.000000000E0
6.671493375E0,0.000000000E0
6.691493375E0,0.000000000E0
6.711493375E0,0.000000000E0
6.731493375E0,5.000000000E0
6.751493375E0,5.000000000E0
6.771493375E0,5.000000000E0
6.791493375E0,5.000000000E0
6.811493375E0,5.000000000E0
6.831493375E0,5.000000000E0
6.851493375E0,5.000000000E0
6.871493375E0,5.000000000E0
6.891493375E0,5.000000000E0
6.911493375E0,5.000000000E0
6.931493375E0,5.000000000E0
6.951493375E0,5.000000000E0
6.971493375E0,5.000000000E0
6.991493375E0,5.000000000E0
7.011493375E0,5.000000000E0
7.031493375E0,5.000000000E0
7.051493375E0,0.000000000E0
7.071493375E0,0.000000000E0
7.091493375E0,0.000000000E0
7.111493375E0,0.000000000E0
7.131493375E0,0.000000000E0
7.151493375E0,0.000000000E0
7.171493375E0,0.000000000E0
7.191493375E0,5.000000000E0
7.211493375E0,5.000000000E0
7.231493375E0,5.000000000E0
7.251493375E0,5.000000000E0
7.271493375E0,5.000000000E0
7.291493375E0,5.000000000E0
7.311493375E0,5.000000000E0
7.331493375E0,5.000000000E0
7.351493375E0,5.000000000E0
7.371493375E0,5.000000000E0
7.391493375E0,5.000000000E0
7.411493375E0,5.000000000E0
7.431493375E0,5.000000000E0
7.451493375E0,5.000000000E0
7.471493375E0,5.000000000E0
7.491493375E0,5.000000000E0
7.511493375E0,5.000000000E0
7.531493375E0,5.000000000E0
7.551493375E0,5.000000000E0
7.571493375E0,5.000000000E0
7.591493375E0,5.000000000E0
7.611493375E0,5.000000000E0
7.631493375E0,5.000000000E0
7.651493375E0,5.000000000E0
7.671493375E0,5.000000000E0
7.691493375E0,5.000000000E0
7.711493375E0,5.000000000E0
7.731493375E0,5.000000000E0
7.751493375E0,5.000000000E0
7.771493375E0,5.000000000E0
7.791493375E0,5.000000000E0
7.811493375E0,5.000000000E0
7.831493375E0,5.000000000E0
7.851493375E0,5.000000000E0
7.871493375E0,0.000000000E0
7.891493375E0,0.000000000E0
7.911493375E0,0.000000000E0
7.931493375E0,0.000000000E0
7.951493375E0,0.000000000E0
7.971493375E0,0.000000000E0
7.991493375E0,0.000000000E0
8.011493375E0,0.000000000E0
8.031493375E0,5.000000000E0
8.051493375E0,5.000000000E0
8.071493375E0,5.000000000E0
8.091493375E0,5.000000000E0
8.111493375E0,5.000000000E0
8.131493375E0,5.000000000E0
8.151493375E0,5.000000000E0
8.171493375E0,5.000000000E0
8.191493375E0,5.000000000E0
8.211493375E0,5.000000000E0
8.231493375E0,5.000000000E0
8.251493375E0,5.000000000E0
8.271493375E0,5.000000000E0
8.291493375E0,5.000000000E0
8.311493375E0,5.000000000E0
8.331493375E0,5.000000000E0
8.351493375E0,5.000000000E0
8.371493375E0,5.000000000E0
8.391493375E0,5.000000000E0
8.411493375E0,0.000000000E0
8.431493375E0,0.000000000E0
8.451493375E0,0.000000000E0
8.471493375E0,0.000000000E0
8.491493375E0,0.000000000E0
8.511493375E0,5.000000000E0
8.531493375E0,5.000000000E0
8.551493375E0,5.000000000E0
8.571493375E0,5.000000000E0
8.591493375E0,5.000000000E0
8.611493375E0,5.000000000E0
8.631493375E0,0.000000000E0
8.651493375E0,0.000000000E0
8.671493375E0,0.000000000E0
8.691493375E0,0.000000000E0
8.711493375E0,0.000000000E0
8.731493375E0,0.000000000E0
8.751493375E0,0.000000000E0
8.771493375E0,0.000000000E0
8.791493375E0,0.000000000E0
8.811493375E0,0.000000000E0
8.831493375E0,0.000000000E0
8.851493375E0,0.000000000E0
8.871493375E0,0.000000000E0
8.891493375E0,0.000000000E0
8.911493375E0,5.000000000E0
8.931493375E0,5.000000000E0
8.951493375E0,5.000000000E0
8.971493375E0,5.000000000E0
8.991493375E0,5.000000000E0
9.011493375E0,5.000000000E0
9.031493375E0,5.000000000E0
9.051493375E0,5.000000000E0
9.071493375E0,5.000000000E0
9.091493375E0,5.000000000E0
9.111493375E0,5.000000000E0
9.131493375E0,5.000000000E0
9.151493375E0,5.000000000E0
9.171493375E0,5.000000000E0
9.191493375E0,5.000000000E0
9.211493375E0,5.000000000E0
9.231493375E0,0.000000000E0
9.251493375E0,0.000000000E0
9.271493375E0,0.000000000E0
9.291493375E0,0.000000000E0
9.311493375E0,0.000000000E0
9.331493375E0,0.000000000E0
9.351493375E0,5.000000000E0
9.371493375E0,5.000000000E0
9.391493375E0,5.000000000E0
9.411493375E0,5.000000000E0
9.431493375E0,5.000000000E0
9.451493375E0,5.000000000E0
9.471493375E0,0.000000000E0
9.491493375E0,0.000000000E0
9.511493375E0,0.000000000E0
9.531493375E0,0.000000000E0
9.551493375E0,5.000000000E0
9.571493375E0,5.000000000E0
9.591493375E0,5.000000000E0
9.611493375E0,5.000000000E0
9.631493375E0,5.000000000E0
9.651493375E0,5.000000000E0
9.671493375E0,5.000000000E0
9.691493375E0,0.000000000E0
9.711493375E0,0.000000000E0
9.731493375E0,5.000000000E0
9.751493375E0,5.000000000E0
9.771493375E0,5.000000000E0
9.791493375E0,5.000000000E0
9.811493375E0,5.000000000E0
9.831493375E0,5.000000000E0
9.851493375E0,5.000000000E0
9.871493375E0,5.000000000E0
9.891493375E0,5.000000000E0
9.911493375E0,5.000000000E0
9.931493375E0,5.000000000E0
9.951493375E0,5.000000000E0
9.971493375E0,0.000000000E0
9.991493375E0,0.000000000E0
1.001149337E1,0.000000000E0
1.003149337E1,0.000000000E0
1.005149337E1,0.000000000E0
1.007149337E1,0.000000000E0
1.009149337E1,0.000000000E0
1.011149337E1,0.000000000E0
