"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.239583362E-4,-5.496636629E-1,4.457831383E0,3.623315573E0
1.997595833E-2,-7.763108015E-1,5.025715351E0,3.175948858E0
3.982695832E-2,-9.288712740E-1,5.403363705E0,2.710881710E0
5.967895832E-2,-1.064436913E0,5.312791824E0,2.143905878E0
7.953095832E-2,-1.277010918E0,4.736328602E0,1.407502294E0
9.938195831E-2,-1.321563482E0,3.757328749E0,7.610307932E-1
1.192339583E-1,-1.219907999E0,2.499961138E0,1.789271384E-1
1.390849584E-1,-1.094471693E0,1.230217695E0,-2.464314997E-1
1.589369584E-1,-1.003912210E0,2.986180484E-1,-4.621271193E-1
1.787889584E-1,-1.054933906E0,-1.174668893E-1,-4.693501592E-1
1.986399583E-1,-1.087008476E0,5.011098459E-3,-2.427397966E-1
2.184919583E-1,-1.053068638E0,5.427378416E-1,-3.254493698E-2
2.383429583E-1,-9.986736774E-1,9.725424647E-1,1.609075516E-1
2.581949583E-1,-1.055389404E0,9.514749050E-1,2.243997753E-1
2.780469583E-1,-1.225404263E0,4.896685481E-1,2.508482039E-1
2.978979583E-1,-1.197354794E0,-1.944023818E-1,3.460035622E-1
3.177499583E-1,-1.087104321E0,-5.992280841E-1,2.508887649E-1
3.376009583E-1,-9.033204913E-1,-5.638560653E-1,2.039504796E-2
3.574529583E-1,-7.027942538E-1,-2.170769125E-1,-2.430525422E-1
3.773049584E-1,-5.316745639E-1,8.361071348E-2,-3.675421774E-1
3.971559583E-1,-3.458230197E-1,1.595460624E-1,-3.828009665E-1
4.170079583E-1,-1.813877970E-1,1.567106098E-1,-4.065360427E-1
4.368589583E-1,1.793104783E-2,1.034666523E-1,-3.998705149E-1
4.567109583E-1,1.922068745E-1,-3.686791658E-2,-4.123688340E-1
4.765629583E-1,3.079419732E-1,-2.949894667E-1,-3.364946544E-1
4.964139583E-1,3.586646020E-1,-5.677487850E-1,-1.574694663E-1
5.162659583E-1,3.718692064E-1,-7.522197962E-1,7.266376913E-2
5.361169583E-1,3.581179380E-1,-8.772178292E-1,3.400630355E-1
5.559689583E-1,2.844432890E-1,-8.765146732E-1,5.114491582E-1
5.758209583E-1,1.926355511E-1,-7.763265967E-1,5.477740169E-1
5.956719583E-1,1.416597217E-1,-7.154902220E-1,5.571158528E-1
6.155239583E-1,7.717691362E-2,-6.234596968E-1,5.318005085E-1
6.353749583E-1,-4.599175602E-2,-3.809648156E-1,3.769064546E-1
6.552269583E-1,-1.946411282E-1,-2.135637105E-1,2.447725087E-1
6.750789583E-1,-3.075719774E-1,-1.988398880E-1,7.829842716E-2
6.949299583E-1,-3.322698772E-1,-3.103937507E-1,-1.370316446E-1
7.147819583E-1,-3.106538951E-1,-4.448306262E-1,-3.360677361E-1
7.346329583E-1,-2.640606761E-1,-3.762044907E-1,-5.651342273E-1
7.544849583E-1,-1.469487697E-1,-2.121880352E-1,-7.639671564E-1
7.743369583E-1,-4.348994792E-2,-5.560030043E-2,-1.038921118E0
7.941879584E-1,1.066922620E-1,-7.876627892E-2,-1.323253751E0
8.140399583E-1,3.496564329E-1,-2.740648985E-1,-1.512334108E0
8.338909583E-1,5.892990232E-1,-3.153291047E-1,-1.653073192E0
8.537429583E-1,7.936273813E-1,-2.095503956E-1,-1.666231632E0
8.735949583E-1,8.898980021E-1,-1.063893512E-1,-1.511989713E0
8.934455000E-1,8.835980296E-1,-1.362184733E-1,-1.171343803E0
9.132975000E-1,8.341718912E-1,-3.608046472E-1,-6.933044791E-1
