"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.239583362E-4,8.260928732E-1,-4.821264948E0,-2.959671113E0
1.997595833E-2,6.607587576E-2,-6.731842663E0,-3.961877152E0
3.982695832E-2,-1.380106616E0,-8.104091790E0,-5.134057072E0
5.967895832E-2,-2.245006290E0,-8.642212216E0,-5.969300838E0
7.953095832E-2,-2.480652004E0,-8.329981425E0,-5.803629338E0
9.938195831E-2,-2.187549795E0,-7.310184916E0,-4.666257893E0
1.192339583E-1,-2.398859398E0,-5.078531327E0,-2.946399980E0
1.390849584E-1,-2.070124841E0,-2.205171549E0,-7.439042638E-1
1.589369584E-1,-1.508080532E0,3.274405682E-1,1.348026306E0
1.787889584E-1,-1.438715597E0,2.606025664E0,2.694926146E0
1.986399583E-1,-1.202945337E0,4.262085190E0,3.256004494E0
2.184919583E-1,-9.357293361E-1,4.925715516E0,3.021336142E0
2.383429583E-1,-1.368335586E0,4.197524328E0,1.906125644E0
2.581949583E-1,-2.180161253E0,3.158121520E0,7.214481783E-1
2.780469583E-1,-2.504085891E0,1.695745749E0,-3.678000972E-1
2.978979583E-1,-1.684980440E0,-2.507157433E-1,-1.227541650E0
3.177499583E-1,1.668321723E-1,-6.871390557E-1,-1.125939261E0
3.376009583E-1,2.026448479E0,-9.742326665E-1,-8.280376571E-1
3.574529583E-1,3.000662434E0,-1.350985143E0,-4.930243599E-1
3.773049584E-1,2.584401491E0,-1.202332549E0,1.543854967E-1
3.971559583E-1,1.799150249E0,-5.168032318E-1,1.218033785E0
4.170079583E-1,1.458373936E0,6.591776705E-1,2.395543442E0
4.368589583E-1,1.176217130E0,2.061227717E0,3.081663913E0
4.567109583E-1,6.460647047E-1,3.519596391E0,3.375749624E0
4.765629583E-1,-2.617716587E-1,4.667287880E0,3.369429953E0
4.964139583E-1,-9.795974869E-1,5.428469642E0,3.083178049E0
5.162659583E-1,-1.304195724E0,5.439088771E0,2.282251884E0
5.361169583E-1,-1.110403794E0,4.986727118E0,1.339067056E0
5.559689583E-1,-1.729729182E-1,4.548311074E0,4.681467962E-1
5.758209583E-1,9.068744963E-1,3.732442642E0,-4.611813006E-1
5.956719583E-1,2.062515274E0,2.656508769E0,-1.286586249E0
6.155239583E-1,2.937807789E0,1.540841312E0,-1.993086605E0
6.353749583E-1,3.270181069E0,3.833031124E-1,-2.668531814E0
6.552269583E-1,3.322065752E0,-6.356999302E-1,-3.130318302E0
6.750789583E-1,3.041583588E0,-1.648155845E0,-3.183209291E0
6.949299583E-1,3.026359777E0,-2.472484614E0,-2.915995336E0
7.147819583E-1,3.338149104E0,-3.315355487E0,-2.764783416E0
7.346329583E-1,3.576199778E0,-3.820154970E0,-2.545066686E0
7.544849583E-1,3.267118882E0,-3.703020623E0,-1.751935737E0
7.743369583E-1,2.786391801E0,-3.102009884E0,-6.245323330E-1
7.941879584E-1,2.044375457E0,-2.327002380E0,4.456300458E-1
8.140399583E-1,1.160331999E0,-7.209090650E-1,1.787254966E0
8.338909583E-1,6.148481745E-1,1.219221647E0,3.004028091E0
8.537429583E-1,-3.492828423E-1,3.336958318E0,3.774809521E0
8.735949583E-1,-1.837692171E0,5.204928249E0,4.091321350E0
8.934455000E-1,-3.542958941E0,6.790280905E0,4.052768903E0
9.132975000E-1,-4.600183479E0,7.485808961E0,3.615876644E0
9.331485000E-1,-5.096771132E0,7.241893530E0,2.614232231E0
9.530005000E-1,-4.796613087E0,6.590020201E0,1.417703628E0
9.728525000E-1,-4.061230994E0,5.320679730E0,1.123647738E-1
9.927035000E-1,-3.219441855E0,3.428493555E0,-9.535814703E-1
1.012555500E0,-2.116020806E0,2.054180361E0,-1.796031345E0
1.032406500E0,-1.314801988E0,2.994163254E-1,-2.449328470E0
