"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.706208303E-3,7.819140015E0,-2.384990387E0,6.696474609E0
3.470920830E-2,7.640860748E0,-2.547851715E0,6.425837402E0
5.471120833E-2,7.468119965E0,-2.482587433E0,6.139482880E0
7.471320831E-2,7.340734863E0,-2.488724670E0,5.867797852E0
9.471620829E-2,7.276668091E0,-2.450254669E0,5.675447845E0
1.147182083E-1,7.323370972E0,-2.609822845E0,5.518574066E0
1.347202083E-1,7.422165527E0,-2.744842072E0,5.357059937E0
1.547222083E-1,7.520810394E0,-2.859054565E0,5.190755768E0
1.747242083E-1,7.697742462E0,-2.881058807E0,4.882097626E0
1.947272083E-1,7.843090210E0,-2.850522308E0,4.746180267E0
2.147292083E-1,7.975415039E0,-2.841840363E0,4.555776215E0
2.347312083E-1,8.217611389E0,-2.775378571E0,4.292922821E0
2.547332083E-1,8.586893463E0,-2.687511292E0,3.785627747E0
2.747352083E-1,8.766669617E0,-2.550396423E0,3.326083374E0
2.947372083E-1,8.780890045E0,-2.180665283E0,3.066223755E0
3.147402083E-1,8.822353821E0,-2.006726990E0,2.908751221E0
3.347422083E-1,8.898096313E0,-1.842368774E0,2.702031097E0
3.547442083E-1,8.936117249E0,-1.654509430E0,2.354154510E0
3.747462083E-1,9.143286438E0,-1.582808533E0,2.333647156E0
3.947482083E-1,9.378297729E0,-1.689686279E0,2.447260895E0
4.147512083E-1,9.577982483E0,-1.603615265E0,2.463576965E0
4.347532083E-1,9.679172058E0,-1.338815918E0,2.423011322E0
4.547552083E-1,9.728719025E0,-1.188977509E0,2.691852264E0
4.747572083E-1,9.775122528E0,-1.315015411E0,3.319048004E0
4.947592083E-1,9.821675720E0,-1.748813324E0,4.113146667E0
5.147622083E-1,9.676777039E0,-2.336042175E0,4.762047272E0
5.347642083E-1,9.312434692E0,-2.851270752E0,5.476511536E0
5.547662083E-1,8.843609619E0,-3.312162323E0,6.097270660E0
5.747682083E-1,8.461454315E0,-3.472778320E0,6.595883789E0
5.947702083E-1,8.132438507E0,-3.639232178E0,7.221732330E0
6.147732083E-1,7.619006195E0,-3.702550507E0,7.585625610E0
6.347752083E-1,7.020999756E0,-3.484154663E0,7.487878876E0
6.547772083E-1,6.556964722E0,-3.315904541E0,7.215445404E0
6.747792083E-1,6.171665955E0,-3.221001892E0,6.926546173E0
6.947819166E-1,5.933511200E0,-3.207529907E0,6.615193634E0
