"Time (s)","X (hPa)"
-5.733922083E-1,1.012885818E3
4.329597917E-1,1.012895355E3
1.439310792E0,1.012904816E3
2.445681792E0,1.012911606E3
3.452085792E0,1.012919388E3
3.802474792E0,1.012931976E3
4.876029792E0,1.012936478E3
5.949566792E0,1.012941132E3
7.023142792E0,1.012936478E3
8.096633792E0,1.012933731E3
9.170089792E0,1.012929535E3
1.024349179E1,1.012929306E3
1.131697279E1,1.012927933E3
1.239049579E1,1.012927933E3
1.346398779E1,1.012928696E3
1.453749379E1,1.012928696E3
1.561096679E1,1.012923431E3
1.668442479E1,1.012915268E3
1.775787779E1,1.012914810E3
1.883133079E1,1.012905197E3
1.990481679E1,1.012895737E3
2.097830579E1,1.012895737E3
2.205176679E1,1.012901764E3
2.312516879E1,1.012907410E3
2.419861479E1,1.012910995E3
2.527202879E1,1.012928467E3
2.634547479E1,1.012928467E3
2.741896579E1,1.012930603E3
2.849249979E1,1.012937622E3
2.956601179E1,1.012937622E3
3.063949779E1,1.012937546E3
3.171300579E1,1.012922211E3
3.278655279E1,1.012920990E3
3.386010379E1,1.012920303E3
3.493365079E1,1.012915421E3
3.600714479E1,1.012912064E3
3.708068579E1,1.012915421E3
3.815421379E1,1.012913589E3
3.922774279E1,1.012915726E3
4.030123979E1,1.012913742E3
4.137479379E1,1.012913742E3
4.244831579E1,1.012913589E3
4.352188279E1,1.012911835E3
4.459543779E1,1.012911835E3
4.566900579E1,1.012914047E3
4.674257179E1,1.012914047E3
4.781611779E1,1.012913742E3
4.888965379E1,1.012911072E3
4.996320079E1,1.012913742E3
5.103678679E1,1.012915115E3
5.211030579E1,1.012925339E3
5.318385079E1,1.012925339E3
5.425739679E1,1.012925339E3
5.533090479E1,1.012926865E3
5.640438979E1,1.012926865E3
5.747787379E1,1.012918396E3
5.855144579E1,1.012907028E3
5.962499879E1,1.012907028E3
6.069854879E1,1.012907028E3
6.177210479E1,1.012907028E3
6.284565279E1,1.012907028E3
6.391920979E1,1.012908173E3
6.499275079E1,1.012908707E3
6.606631079E1,1.012909851E3
6.713992479E1,1.012912521E3
6.821341279E1,1.012912521E3
6.928685679E1,1.012915878E3
7.036034279E1,1.012911224E3
7.143386179E1,1.012909851E3
7.250739179E1,1.012900772E3
7.358087679E1,1.012900162E3
7.465434279E1,1.012900162E3
7.572783879E1,1.012902222E3
7.680139879E1,1.012902222E3
7.787492479E1,1.012902222E3
7.894842779E1,1.012902908E3
8.002196179E1,1.012902908E3
8.109545679E1,1.012895889E3
8.216897679E1,1.012895889E3
8.324249079E1,1.012898483E3
8.431597879E1,1.012899933E3
8.538948379E1,1.012899933E3
8.646301779E1,1.012903290E3
8.753653279E1,1.012904510E3
8.861004679E1,1.012907410E3
8.968357079E1,1.012907410E3
9.075706379E1,1.012904892E3
9.183060579E1,1.012903671E3
9.290416379E1,1.012897797E3
9.397765479E1,1.012888947E3
9.505116579E1,1.012888947E3
9.612467679E1,1.012890396E3
9.719821179E1,1.012894440E3
9.827173179E1,1.012902145E3
9.934526579E1,1.012904358E3
1.004187578E2,1.012916336E3
1.014922878E2,1.012918625E3
1.025658348E2,1.012918625E3
1.036393668E2,1.012914429E3
1.047128988E2,1.012912674E3
1.057864858E2,1.012912674E3
1.068600528E2,1.012920761E3
1.079335448E2,1.012920761E3
1.090071358E2,1.012924500E3
1.100807408E2,1.012920685E3
1.111542748E2,1.012913208E3
1.122278498E2,1.012903748E3
1.133014228E2,1.012903290E3
1.143749818E2,1.012903290E3
1.154485798E2,1.012918167E3
1.165221808E2,1.012920303E3
1.175957698E2,1.012920303E3
1.186693108E2,1.012924347E3
1.197428248E2,1.012924881E3
1.208163798E2,1.012925568E3
1.218899478E2,1.012925568E3
1.229635238E2,1.012926178E3
1.240371038E2,1.012928314E3
1.251106428E2,1.012928314E3
1.261841928E2,1.012926178E3
1.272577858E2,1.012906189E3
1.283313808E2,1.012903290E3
1.294049988E2,1.012903290E3
1.304786098E2,1.012910690E3
1.315521848E2,1.012926407E3
1.326257638E2,1.012926788E3
1.336993088E2,1.012935638E3
1.347728468E2,1.012940750E3
1.358464148E2,1.012940750E3
1.369199418E2,1.012933426E3
1.379935128E2,1.012928009E3
1.390670908E2,1.012924500E3
1.401406478E2,1.012920761E3
1.412142208E2,1.012920761E3
1.422878378E2,1.012918625E3
1.433614188E2,1.012924500E3
1.444349478E2,1.012924500E3
1.455084568E2,1.012930679E3
1.465819888E2,1.012931747E3
1.476555188E2,1.012930679E3
1.487291078E2,1.012920761E3
1.498027148E2,1.012916794E3
1.508763268E2,1.012914047E3
1.519499078E2,1.012914047E3
1.530234548E2,1.012914047E3
1.540970118E2,1.012917328E3
1.551705788E2,1.012921371E3
1.562441668E2,1.012921371E3
1.573177248E2,1.012908325E3
1.583912808E2,1.012908325E3
1.594648928E2,1.012910004E3
1.605384868E2,1.012916260E3
1.616120758E2,1.012923660E3
1.626857018E2,1.012929001E3
1.637593148E2,1.012929611E3
1.648329348E2,1.012930603E3
1.659065348E2,1.012937393E3
1.669801218E2,1.012943039E3
1.680537148E2,1.012944489E3
1.691273128E2,1.012944489E3
1.702009228E2,1.012940063E3
1.712745248E2,1.012932968E3
1.723481928E2,1.012928314E3
1.734217888E2,1.012924118E3
1.744953928E2,1.012922592E3
1.755689928E2,1.012922592E3
1.766426168E2,1.012928467E3
1.777162028E2,1.012928467E3
1.787897778E2,1.012924500E3
1.798633358E2,1.012924500E3
1.809369718E2,1.012925186E3
1.820105588E2,1.012925415E3
1.830841148E2,1.012925415E3
1.841576888E2,1.012925415E3
1.852312788E2,1.012924576E3
1.863048718E2,1.012914047E3
1.873784258E2,1.012914047E3
1.884520168E2,1.012917633E3
1.895256168E2,1.012921753E3
1.905991908E2,1.012937012E3
1.916727838E2,1.012942047E3
1.927463928E2,1.012952271E3
1.938199918E2,1.012954178E3
1.948935478E2,1.012952271E3
1.959671898E2,1.012939301E3
1.970407808E2,1.012919235E3
1.981143438E2,1.012919235E3
1.991879448E2,1.012923889E3
2.002615018E2,1.012930832E3
2.013350478E2,1.012934875E3
2.024086168E2,1.012942886E3
2.034822218E2,1.012942886E3
2.045558688E2,1.012928696E3
2.056294778E2,1.012928696E3
2.067030828E2,1.012932510E3
2.077767008E2,1.012934799E3
2.088503538E2,1.012944412E3
2.099239858E2,1.012946014E3
2.109975858E2,1.012952499E3
2.120712088E2,1.012946854E3
2.131447928E2,1.012946854E3
2.142183818E2,1.012943649E3
2.152920148E2,1.012938156E3
2.163656678E2,1.012931366E3
2.174393208E2,1.012931366E3
2.185129278E2,1.012935104E3
2.195866038E2,1.012936783E3
2.206602718E2,1.012936783E3
2.217339178E2,1.012943268E3
2.228076138E2,1.012943878E3
2.238812958E2,1.012950592E3
2.249549878E2,1.012964783E3
2.260286558E2,1.012966156E3
2.271023198E2,1.012966156E3
2.281760238E2,1.012960510E3
2.292497378E2,1.012957993E3
2.303234838E2,1.012949753E3
2.313971718E2,1.012949753E3
2.324708498E2,1.012956161E3
2.335444768E2,1.012956161E3
2.346180628E2,1.012946854E3
2.356916518E2,1.012946854E3
2.367652108E2,1.012944260E3
2.378388688E2,1.012944260E3
2.389124648E2,1.012946854E3
2.399860558E2,1.012948151E3
2.410596678E2,1.012948151E3
2.421332558E2,1.012953644E3
2.432068828E2,1.012949600E3
2.442804998E2,1.012954788E3
2.453541368E2,1.012951660E3
2.464277478E2,1.012951660E3
2.475013628E2,1.012948303E3
2.485749898E2,1.012943039E3
2.496486178E2,1.012943039E3
2.507222738E2,1.012945786E3
2.517959068E2,1.012955475E3
2.528695988E2,1.012955475E3
2.539432618E2,1.012947540E3
2.550169008E2,1.012941971E3
2.560905548E2,1.012941360E3
2.571641778E2,1.012938385E3
2.582378008E2,1.012934265E3
2.593114528E2,1.012932892E3
2.603851528E2,1.012934265E3
2.614588418E2,1.012944565E3
2.625324498E2,1.012946854E3
2.636060818E2,1.012948074E3
2.646797428E2,1.012949829E3
2.657533598E2,1.012950211E3
2.668269978E2,1.012950211E3
2.679006228E2,1.012947922E3
2.689742288E2,1.012947922E3
2.700478188E2,1.012957306E3
2.711214288E2,1.012959213E3
2.721950678E2,1.012957306E3
2.732687218E2,1.012952957E3
2.743423608E2,1.012942581E3
2.754159888E2,1.012942581E3
2.764896168E2,1.012939072E3
2.775632268E2,1.012941742E3
2.786368508E2,1.012941742E3
2.797105438E2,1.012943039E3
2.807842358E2,1.012943268E3
2.818578588E2,1.012943497E3
2.829314858E2,1.012947693E3
2.840051418E2,1.012947922E3
2.850787888E2,1.012951889E3
2.861524288E2,1.012953110E3
2.872261448E2,1.012953110E3
2.882998638E2,1.012953568E3
2.893735028E2,1.012953568E3
2.904471458E2,1.012950897E3
2.915207768E2,1.012949829E3
2.925944338E2,1.012949829E3
2.936680988E2,1.012948151E3
2.947417608E2,1.012948151E3
2.958154668E2,1.012947006E3
2.968891258E2,1.012948074E3
