"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.403275000E-2,3.634969890E-2,6.673162431E-2,-2.658605576E-2
3.388075000E-2,2.893994190E-2,8.754533529E-2,-1.158667263E-2
5.372975000E-2,1.215439755E-2,2.319765091E-2,-8.405011147E-3
7.357875000E-2,-1.021914929E-2,-4.586525261E-2,-1.011517365E-3
9.342775000E-2,-3.046971746E-2,-6.439055502E-2,-3.816355020E-4
1.132767500E-1,-3.880454600E-2,-3.333655745E-2,5.654392298E-3
1.331247500E-1,-3.295316547E-2,9.906659834E-3,1.718492992E-2
1.529737500E-1,-1.797869988E-2,4.077798501E-2,4.616212565E-3
1.728227500E-1,-1.052581612E-2,5.296853930E-2,3.769603092E-3
1.926717500E-1,-1.811060682E-2,6.569641083E-2,1.222749241E-2
2.125207500E-1,-1.922266372E-2,4.848517478E-2,9.161962196E-3
2.323687500E-1,-2.301399782E-2,1.052714698E-2,-3.044236917E-3
2.522177500E-1,-3.852494061E-2,-1.257964410E-3,7.614843082E-3
2.720667500E-1,-5.731923878E-2,5.114621297E-2,3.553804383E-2
2.919157500E-1,-4.326613620E-2,1.022286788E-1,5.972146615E-2
3.117637500E-1,-2.711423486E-2,1.138458028E-1,6.446559727E-2
3.316127500E-1,-1.821440645E-2,6.390485168E-2,6.036516652E-2
3.514617500E-1,-3.987777047E-3,-6.109408103E-3,5.495938286E-2
3.713107500E-1,1.333240187E-3,-3.695708513E-2,3.872545809E-2
3.911597500E-1,-8.331104182E-3,-7.956861518E-3,1.987000927E-2
4.110077500E-1,-1.967432164E-2,7.043591887E-2,1.039801165E-3
4.308567500E-1,-4.006519541E-2,1.832198650E-1,-3.016567416E-2
4.507057500E-1,-8.796423674E-2,2.323040217E-1,-8.274918795E-2
4.705547500E-1,-1.574271619E-1,3.315176666E-1,-2.002581656E-1
4.904037500E-1,-2.365268916E-1,5.884965658E-1,-2.507329583E-1
5.102517500E-1,-2.602320015E-1,1.244869590E0,-2.441570312E-1
5.301007500E-1,-1.897226423E-1,2.483731747E0,-3.438434899E-1
5.499497500E-1,5.062984303E-2,4.058139801E0,-6.762241721E-1
5.697987500E-1,4.158590436E-1,5.472161770E0,-7.701836228E-1
5.896477500E-1,6.932085752E-1,6.264507771E0,-6.050395370E-1
6.094957500E-1,8.660146594E-1,6.407093525E0,-4.492001235E-1
6.293447500E-1,6.203893423E-1,5.518054485E0,-1.082780957E-1
6.491937500E-1,-4.355091229E-2,3.580298662E0,4.000352025E-1
6.690427500E-1,-5.641756058E-1,1.584610939E0,4.641065896E-1
6.888907500E-1,-7.795264125E-1,1.386890054E0,6.078332663E-1
7.087397500E-1,-3.274753690E-1,3.355838299E0,4.956740513E-2
7.285887500E-1,7.014347315E-1,5.925344467E0,-2.878861129E-1
7.484367500E-1,7.776525021E-1,7.799296379E0,9.732421041E-1
7.682857500E-1,-1.297556758E0,8.306103706E0,3.668584585E0
7.881350000E-1,-5.122987747E0,7.686181068E0,6.504543781E0
8.079840000E-1,-9.422879219E0,6.958878040E0,8.242695808E0
8.278330000E-1,-1.163629627E1,5.590612888E0,1.070798111E1
8.476810000E-1,-9.466622353E0,1.080705070E1,8.025328636E0
8.675300000E-1,8.033275604E0,5.703925610E0,4.189630508E0
8.873790000E-1,1.061838150E1,-1.945001721E0,-5.015929699E0
9.072280000E-1,4.237597942E0,-1.077172947E1,-8.209502220E0
9.270760000E-1,2.009508908E-1,-1.355896187E1,-4.567922592E0
9.469250000E-1,1.405340135E-1,-9.303390503E0,-4.056881905E0
9.667740000E-1,1.363473415E0,-5.933231354E0,-3.838474512E0
9.866230000E-1,1.833455086E0,-5.385080338E0,-3.931722164E0
1.006471000E0,9.880462289E-1,-5.873450279E0,-3.285146475E0
1.026320000E0,-1.886777133E-1,-6.168428421E0,-1.946631074E0
1.046169000E0,-1.135343194E0,-5.749435902E0,-7.155927420E-1
1.066018000E0,-1.206230998E0,-4.379474163E0,9.783136845E-2
1.085867000E0,-6.922267675E-1,-2.976791382E0,3.507531881E-1
1.105715000E0,-4.412864149E-1,-2.717825174E0,2.865358293E-1
1.125564000E0,-5.205000639E-1,-3.721601963E0,2.258557081E-1
1.145413000E0,-5.856183171E-1,-4.911658764E0,2.182402648E-3
1.165262000E0,-5.658678412E-1,-5.454066277E0,-2.568399608E-1
1.185111000E0,-5.030372143E-1,-5.143352032E0,-4.778763950E-1
1.204959000E0,-3.552239537E-1,-4.341520786E0,-4.975398779E-1
1.224808000E0,-7.679649442E-2,-3.303535223E0,-8.346138597E-1
1.244657000E0,9.220629185E-2,-2.207641840E0,-9.109638333E-1
1.264506000E0,2.948361635E-1,-1.198974133E0,-8.531735539E-1
1.284355000E0,4.037843347E-1,-1.051720828E-1,-8.263584971E-1
1.304203000E0,1.699821949E-1,9.528087974E-1,-8.829786777E-1
1.324052000E0,-2.380460314E-2,1.768166184E0,-1.087886810E0
1.343901000E0,-1.475287676E-1,2.161668062E0,-1.188137650E0
1.363750000E0,-4.083439708E-1,2.649720669E0,-1.097946286E0
1.383599000E0,-7.065265775E-1,3.942275286E0,-1.118093133E0
1.403447000E0,-7.251944542E-1,6.392918110E0,-1.086635470E0
1.423296000E0,-1.560111623E-2,9.599913597E0,-7.336915135E-1
1.443145000E0,1.195233703E0,1.159420872E1,8.500158191E-1
1.462994000E0,1.630929708E0,1.220408440E1,3.275700092E0
1.482842000E0,-8.970824480E-1,1.252457523E1,5.747118473E0
1.502691000E0,-5.581669331E0,1.313732338E1,8.696613312E0
1.522540000E0,-9.715358734E0,1.258896255E1,1.000911427E1
1.542389000E0,-1.186201668E1,1.334688473E1,1.028547192E1
1.562238000E0,-8.413582802E0,1.174507046E1,3.721725702E0
1.582086000E0,1.051762009E1,-5.785119057E0,3.479686737E0
1.601935000E0,7.418121815E0,-1.368801498E1,-9.529788017E0
1.621784000E0,1.359729409E0,-1.424223900E1,-8.857609749E0
1.641633000E0,-6.554758549E-1,-1.117277336E1,-4.772708416E0
1.661482000E0,-4.146510065E-1,-4.890986919E0,-4.312751770E0
1.681330000E0,6.642784476E-1,-1.006259203E0,-3.675925732E0
1.701179000E0,1.360936880E0,4.597932696E-1,-3.410305023E0
1.721028000E0,1.175017118E0,3.066534698E-1,-2.387986422E0
1.740877000E0,6.245201826E-1,-4.034257531E-1,-1.227516532E0
1.760725000E0,2.631894499E-2,-1.471274495E0,-3.973509967E-1
1.780574250E0,-5.619082451E-1,-2.900944710E0,1.256988645E-1
1.800423250E0,-1.021502852E0,-4.279786587E0,2.553187609E-1
1.820272250E0,-1.151980758E0,-5.219954967E0,1.187792197E-1
1.840121250E0,-8.878582120E-1,-5.552641392E0,-5.391445011E-2
1.859969250E0,-3.431066573E-1,-4.942780495E0,-2.404862493E-1
1.879818250E0,1.891359091E-1,-3.941003561E0,-2.916643620E-1
1.899667250E0,4.626138210E-1,-3.348114967E0,-4.890457094E-1
1.919516250E0,4.292979538E-1,-3.202962875E0,-8.774198294E-1
1.939365250E0,2.869334817E-1,-2.813915491E0,-1.044185877E0
1.959213250E0,1.836715043E-1,-1.794704318E0,-9.826115370E-1
1.979062250E0,6.214268878E-2,-8.836382627E-1,-5.604155660E-1
1.998911250E0,2.954577468E-2,-5.306555629E-1,-2.745903134E-1
2.018760250E0,3.874716163E-2,-5.060779452E-1,-1.668016016E-1
2.038609250E0,3.816602007E-2,-9.305644035E-1,-1.866158694E-1
2.058457250E0,4.359895736E-2,-1.651424527E0,-1.114961058E-1
2.078306250E0,-4.712295905E-2,-2.427505255E0,-1.819424033E-1
