"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.311166667E-3,7.045249329E0,6.328839111E0,3.767665100E0
2.216016667E-2,5.057083740E0,4.766687622E0,3.513942719E0
4.201016667E-2,3.369343414E0,3.531156921E0,3.566034393E0
6.185916667E-2,1.976639557E0,3.030897217E0,3.437152405E0
8.170916666E-2,1.450334015E0,2.104623413E0,3.272494812E0
1.015581667E-1,1.266665955E0,1.561702423E0,3.160677338E0
1.214081667E-1,1.216071167E0,1.655706940E0,3.290158081E0
1.412571667E-1,1.931583252E0,1.532513123E0,3.861519928E0
1.611061667E-1,2.819536743E0,1.682950287E0,4.134252777E0
1.809561667E-1,4.315076752E0,1.957928467E0,4.744683380E0
2.008051667E-1,5.541925507E0,2.964285736E0,5.309009857E0
2.206551667E-1,6.613247681E0,4.017495575E0,5.631738739E0
2.405041667E-1,7.916886749E0,4.762646027E0,5.904920654E0
2.603541667E-1,9.639654236E0,5.518574066E0,6.117478638E0
2.802031667E-1,1.158126663E1,6.413263550E0,5.879772949E0
3.000531667E-1,1.315344727E1,7.880213013E0,5.034031677E0
3.199021667E-1,1.424976746E1,8.853638763E0,3.968247986E0
3.397511667E-1,1.524834091E1,9.136101379E0,2.815046082E0
3.596011667E-1,1.559816345E1,8.619824982E0,2.140698395E0
3.794501667E-1,1.447070801E1,8.265661469E0,2.176623688E0
3.993001667E-1,1.280287628E1,7.326215057E0,1.932930450E0
4.191491667E-1,1.123773102E1,6.078559570E0,1.774859161E0
4.389991667E-1,9.573791199E0,4.698279877E0,1.343755646E0
4.588481667E-1,7.522606659E0,3.164868622E0,9.753717041E-1
4.786981667E-1,5.724695435E0,1.953138428E0,8.484356689E-1
4.985471667E-1,4.807552643E0,9.620494080E-1,9.083111572E-1
5.183971667E-1,4.448599091E0,2.758763123E-1,1.500779114E0
5.382461667E-1,3.982468414E0,-5.619314575E-1,1.886826324E0
5.580955000E-1,4.075425110E0,-1.196012878E0,2.237546997E0
5.779445000E-1,5.118456116E0,-1.040635986E0,2.605930939E0
5.977935000E-1,6.203250275E0,2.290237427E-1,3.681294708E0
6.176435000E-1,7.402256927E0,2.795736237E0,4.921316071E0
6.374925000E-1,8.650511169E0,5.717360687E0,6.449488220E0
6.573425000E-1,1.025861710E1,7.932005310E0,7.218139801E0
6.771915000E-1,1.052985306E1,9.254954224E0,7.692802734E0
6.970415000E-1,9.707912292E0,9.286538544E0,6.801855469E0
7.168905000E-1,9.142687683E0,8.750353546E0,6.078409882E0
7.367405000E-1,8.475225677E0,7.500752106E0,5.020559692E0
7.565895000E-1,7.763455811E0,5.777385864E0,4.148772583E0
7.764385000E-1,6.928941193E0,4.301754456E0,4.245770874E0
7.962885000E-1,6.908583527E0,2.740351410E0,3.987258453E0
8.161375000E-1,5.651048584E0,2.235451355E0,4.220174103E0
8.359875000E-1,3.625460815E0,1.833237762E0,3.834575958E0
8.558365000E-1,2.390379181E0,1.710343323E0,3.369343414E0
8.756865000E-1,2.101030884E0,1.118623810E0,3.691922607E0
8.955355000E-1,2.096839600E0,1.035247192E0,4.281995544E0
9.153855000E-1,2.240091705E0,6.670129395E-1,4.960684204E0
9.352345000E-1,2.060016174E0,3.632945251E-1,5.533243561E0
9.550845000E-1,1.992207184E0,-4.894821167E-2,6.575975189E0
9.749335000E-1,1.241069183E0,-7.526348877E-1,7.204218750E0
9.947825000E-1,1.904639282E0,-2.449206848E0,8.212671661E0
1.014632500E0,2.729274445E0,-4.110751648E0,9.201365662E0
1.034481500E0,2.599644012E0,-5.078788605E0,1.021670425E1
1.054331500E0,4.053570557E0,-6.965764618E0,1.147064667E1
1.074180500E0,4.920567627E0,-7.760611725E0,1.250993546E1
1.094030500E0,7.094496918E0,-8.208330688E0,1.329340622E1
1.113879500E0,1.082279388E1,-6.450086975E0,1.498698441E1
1.133729500E0,1.676169388E1,-3.127296753E0,1.714145416E1
1.153578500E0,2.367506744E1,1.708097992E0,1.962239502E1
1.173428500E0,3.286026672E1,6.698121185E0,2.157358749E1
1.193277500E0,4.101306290E1,1.270647675E1,2.103021744E1
1.213126500E0,5.099685150E1,1.851335129E1,1.665990555E1
1.232976500E0,6.191769150E1,2.169318878E1,8.473130035E0
1.252825500E0,6.786946472E1,2.009870453E1,-5.060676270E0
1.272675500E0,7.125183105E1,1.351988525E1,-1.910551987E1
1.292524500E0,6.832017746E1,1.270707550E0,-3.055042007E1
1.312374500E0,6.544959686E1,-1.667337753E1,-3.969610153E1
1.332223500E0,6.247707825E1,-3.636462936E1,-4.318818970E1
1.352073500E0,6.002667389E1,-5.781891495E1,-3.544119965E1
1.371922500E0,3.534480011E1,-7.866441650E1,-2.975227982E1
1.391772500E0,2.429447937E-1,-7.833884354E1,-1.803719147E1
1.411621500E0,-2.275298492E1,-7.288747971E1,-8.277486877E0
1.431470500E0,-3.579177063E1,-5.603417633E1,-3.356470184E0
1.451320500E0,-3.233785309E1,-3.807093109E1,3.794459381E0
1.471169500E0,-2.263847305E1,-2.633024597E1,1.119985977E1
1.491019500E0,-8.065527649E0,-1.536569687E1,1.660631699E1
1.510868500E0,5.755531311E0,-4.418361969E0,2.087484055E1
1.530718500E0,1.889685379E1,1.934876404E0,2.342329102E1
1.550568292E0,2.718062759E1,8.473279724E0,2.443578552E1
1.570418292E0,2.982263351E1,1.012015503E1,2.283576279E1
1.590267292E0,2.799792801E1,9.960736542E0,1.924862228E1
1.610116292E0,2.302781342E1,7.029082947E0,1.446606766E1
1.629966292E0,1.725431946E1,4.332290955E0,1.020697449E1
1.649815292E0,1.213556396E1,-6.629713440E-1,8.102650452E0
1.669665292E0,6.197711792E0,-5.862558746E0,6.487808533E0
1.689514292E0,6.623725891E-1,-1.201940552E1,4.149970093E0
1.709364292E0,-3.035687256E-1,-1.643088181E1,1.112187195E-1
1.729213292E0,7.982899475E-1,-1.633822449E1,-2.863096161E0
1.749063292E0,-7.044351196E-1,-1.354428452E1,-6.091133423E0
1.768912292E0,6.224057007E-1,-6.376440125E0,-7.016209717E0
1.788761292E0,5.484594727E-1,2.498005371E0,-3.484903107E0
1.808611292E0,9.448352051E-1,1.060379929E1,6.885681152E-1
1.828460292E0,-5.497767334E0,2.284040314E1,5.849236450E0
1.848310292E0,-4.648134155E0,2.203837097E1,8.064928894E0
1.868159292E0,1.659299469E0,1.794288757E1,8.980724487E0
1.888009292E0,9.609566803E0,1.464778976E1,7.687413940E0
1.907858292E0,1.484597763E1,1.055814423E1,4.724026337E0
1.927708292E0,1.475796066E1,7.664661255E0,3.030148773E0
1.947557292E0,1.356703720E1,5.459596710E0,3.324736176E0
1.967407292E0,1.193258606E1,3.764671326E0,3.439697113E0
1.987256292E0,8.250093842E0,3.213667145E0,3.252436523E0
2.007106292E0,4.622836761E0,2.374063110E0,2.176773376E0
2.026955292E0,2.180365906E0,2.307301941E0,1.713337097E0
2.046804292E0,1.324445801E0,2.305206299E0,1.595831451E0
2.066654292E0,1.772314453E0,2.193987579E0,2.291584625E0
2.086503292E0,3.451522522E0,1.512754211E0,3.971990204E0
2.106353292E0,5.040617981E0,2.698887634E-1,5.222789154E0
2.126202292E0,5.233267365E0,-2.140548706E-2,5.658083954E0
2.146052292E0,6.741979980E0,1.513352966E-1,6.230343933E0
2.165901292E0,8.168363800E0,-4.638853455E-1,5.947731628E0
2.185751292E0,1.036010605E1,-1.356628876E0,6.420598297E0
2.205600292E0,1.319311478E1,-1.976489868E0,7.755222931E0
2.225450292E0,1.616353775E1,-1.553020477E0,9.225166168E0
2.245299292E0,1.824211533E1,3.451821899E-1,9.996661835E0
2.265148292E0,2.078712296E1,3.463048553E0,9.315428467E0
2.284998292E0,2.730516861E1,9.951605530E0,9.781708832E0
2.304847292E0,3.902998672E1,2.060390396E1,8.221353607E0
2.324697292E0,4.981805283E1,3.284320221E1,5.746100922E0
2.344546292E0,5.699877045E1,4.223212784E1,-1.507814484E0
2.364396292E0,6.423861511E1,3.951587631E1,-1.357317444E1
2.384245292E0,7.560028839E1,2.464729568E1,-3.166260727E1
2.404095292E0,7.855544312E1,1.425785065E0,-4.869763275E1
2.423944292E0,7.857385483E1,-2.117706207E1,-5.745337509E1
2.443793292E0,7.024712036E1,-4.327261414E1,-5.665837830E1
2.463643292E0,6.180422745E1,-6.690966064E1,-4.405249237E1
2.483492292E0,5.077546188E1,-7.854017487E1,-3.336307114E1
2.503342292E0,1.247191452E1,-7.833689758E1,-1.909384415E1
2.523191292E0,-1.277712982E1,-7.704643112E1,-2.224673767E0
2.543041292E0,-2.793445999E1,-5.917419662E1,4.630919952E0
2.562889917E0,-2.895309174E1,-4.106844772E1,1.047850983E1
2.582739917E0,-2.320175171E1,-2.579480942E1,1.352078339E1
2.602588917E0,-1.241248810E1,-1.626263168E1,1.416249893E1
2.622438917E0,5.083428955E-1,-1.079869400E1,1.468311630E1
2.642287917E0,1.234842133E1,-4.555776215E0,1.452744003E1
2.662136917E0,1.812356186E1,1.089733887E0,1.414947601E1
2.681986917E0,2.290671524E1,3.087928619E0,1.278925461E1
2.701835917E0,2.402099808E1,6.112838287E0,1.216535202E1
2.721685917E0,2.006487488E1,7.958949280E0,1.233015930E1
2.741534917E0,1.929757050E1,6.447841644E0,1.208496918E1
2.761384917E0,1.817490509E1,6.572682037E0,1.253508316E1
2.781233917E0,1.739308090E1,4.740791473E0,1.161330002E1
2.801083917E0,1.349219284E1,4.004772034E0,1.012180161E1
2.820932917E0,1.001552261E1,2.802172852E0,8.632249146E0
2.840781917E0,7.512876892E0,1.309027863E0,7.151827698E0
2.860631917E0,5.456453247E0,-4.090992737E-1,5.674549713E0
2.880480917E0,4.397405548E0,-2.668800201E0,3.536096649E0
2.900330917E0,3.525019684E0,-4.538112946E0,1.265468445E0
2.920179917E0,3.708687744E0,-5.077591095E0,-7.798782349E-1
2.940029917E0,4.134701843E0,-5.614674225E0,-1.570683746E0
2.959878917E0,3.527265015E0,-4.645140381E0,-1.192120972E0
2.979728917E0,2.535577240E0,-1.021326141E0,-6.057902527E-1
2.999577917E0,3.890409851E0,4.601131897E0,-7.544311523E-2
3.019427917E0,3.493285675E0,1.344459183E1,2.662363586E0
3.039276917E0,4.336931305E0,1.774425064E1,4.796176300E0
3.059126917E0,8.664881287E0,2.029674271E1,6.861581268E0
3.078975917E0,1.028391449E1,1.839839035E1,5.722450104E0
