"Time (s)","X (hPa)"
-5.809265000E-1,1.010328751E3
4.253845000E-1,1.010330353E3
1.431623500E0,1.010332108E3
2.437868500E0,1.010340729E3
3.444122500E0,1.010349350E3
3.794601500E0,1.010360641E3
4.867948500E0,1.010362244E3
5.941261500E0,1.010366135E3
7.014544500E0,1.010373688E3
8.087828500E0,1.010381317E3
9.161099500E0,1.010382080E3
1.023439250E1,1.010383759E3
1.130771650E1,1.010386581E3
1.238095250E1,1.010387115E3
1.345424450E1,1.010387115E3
1.452756450E1,1.010384827E3
1.560089650E1,1.010384064E3
1.667421350E1,1.010383377E3
1.774754350E1,1.010378494E3
1.882085550E1,1.010375214E3
1.989410950E1,1.010368805E3
2.096741050E1,1.010362549E3
2.204070550E1,1.010358505E3
2.311403550E1,1.010356216E3
2.418737450E1,1.010354767E3
2.526070250E1,1.010351791E3
2.633402550E1,1.010348206E3
2.740737150E1,1.010348206E3
2.848071750E1,1.010350571E3
2.955405350E1,1.010355225E3
3.062741450E1,1.010356674E3
3.170071250E1,1.010365524E3
3.277404950E1,1.010368881E3
3.384745050E1,1.010368881E3
3.492083050E1,1.010365219E3
3.599419050E1,1.010361252E3
3.706751750E1,1.010358963E3
3.814087850E1,1.010355835E3
3.921425450E1,1.010355148E3
4.028763050E1,1.010353317E3
4.136099650E1,1.010344467E3
4.243435250E1,1.010342789E3
4.350772450E1,1.010340576E3
4.458110950E1,1.010336227E3
4.565450050E1,1.010333023E3
4.672789550E1,1.010332260E3
4.780132550E1,1.010329437E3
4.887480650E1,1.010323181E3
4.994824050E1,1.010319443E3
5.102165150E1,1.010315170E3
5.209506250E1,1.010315170E3
5.316847250E1,1.010315170E3
5.424188350E1,1.010316849E3
5.531530850E1,1.010319443E3
5.638875150E1,1.010324478E3
5.746221150E1,1.010326385E3
5.853568050E1,1.010329514E3
5.960911350E1,1.010331802E3
6.068252850E1,1.010333252E3
6.175591150E1,1.010334473E3
6.282931150E1,1.010338364E3
6.390270350E1,1.010342102E3
6.497614050E1,1.010342331E3
6.604959450E1,1.010344620E3
6.712305250E1,1.010344620E3
6.819650650E1,1.010343857E3
6.926992350E1,1.010338135E3
7.034330150E1,1.010332031E3
7.141666150E1,1.010328598E3
7.249005650E1,1.010320282E3
7.356348850E1,1.010316620E3
7.463690450E1,1.010316620E3
7.571029350E1,1.010318527E3
7.678371850E1,1.010320816E3
7.785715150E1,1.010331573E3
7.893060650E1,1.010332260E3
8.000406350E1,1.010333023E3
8.107748950E1,1.010333023E3
8.215088250E1,1.010331573E3
8.322431150E1,1.010330048E3
8.429775250E1,1.010330048E3
8.537118350E1,1.010330811E3
8.644463150E1,1.010332031E3
8.751806650E1,1.010336609E3
8.859151250E1,1.010338974E3
8.966491250E1,1.010344696E3
9.073836750E1,1.010344849E3
9.181180050E1,1.010346985E3
9.288521150E1,1.010353088E3
9.395862250E1,1.010353088E3
9.503204150E1,1.010350113E3
9.610547950E1,1.010350113E3
9.717894050E1,1.010350113E3
9.825243150E1,1.010346985E3
9.932586650E1,1.010346298E3
1.003993045E2,1.010345078E3
1.014727465E2,1.010345078E3
1.025462335E2,1.010345078E3
1.036196855E2,1.010342484E3
1.046931495E2,1.010339737E3
1.057666275E2,1.010338516E3
1.068401145E2,1.010338058E3
1.079135925E2,1.010338058E3
1.089870365E2,1.010339355E3
1.100604975E2,1.010341110E3
1.111339545E2,1.010342484E3
1.122074495E2,1.010342789E3
1.132809325E2,1.010342789E3
1.143543985E2,1.010342102E3
1.154278705E2,1.010336380E3
1.165013345E2,1.010335846E3
1.175748085E2,1.010335007E3
1.186482825E2,1.010334549E3
1.197217485E2,1.010334091E3
1.207951875E2,1.010334549E3
1.218685845E2,1.010334778E3
1.229420345E2,1.010338287E3
1.240155305E2,1.010338287E3
1.250889705E2,1.010333939E3
1.261624335E2,1.010330963E3
1.272359035E2,1.010330276E3
1.283093375E2,1.010329895E3
1.293828105E2,1.010329514E3
1.304562635E2,1.010329208E3
1.315297375E2,1.010329208E3
1.326032225E2,1.010327225E3
1.336767355E2,1.010327225E3
1.347502085E2,1.010329666E3
1.358236725E2,1.010330353E3
1.368970925E2,1.010330734E3
1.379705665E2,1.010332413E3
1.390439765E2,1.010332413E3
1.401174115E2,1.010328217E3
1.411907715E2,1.010328217E3
1.422641625E2,1.010331421E3
1.433375915E2,1.010332794E3
1.444109885E2,1.010332794E3
1.454844445E2,1.010331802E3
1.465579395E2,1.010327225E3
1.476314015E2,1.010326538E3
1.487048575E2,1.010325012E3
1.497783155E2,1.010325012E3
1.508518195E2,1.010326538E3
1.519252525E2,1.010326538E3
1.529987205E2,1.010324020E3
1.540721875E2,1.010321960E3
1.551457035E2,1.010321732E3
1.562192655E2,1.010316620E3
1.572927425E2,1.010315170E3
1.583663075E2,1.010313950E3
1.594399065E2,1.010313950E3
1.605134725E2,1.010314560E3
1.615869965E2,1.010314560E3
1.626604555E2,1.010314560E3
1.637339485E2,1.010313492E3
1.648073805E2,1.010311813E3
1.658808415E2,1.010311813E3
1.669542745E2,1.010311966E3
1.680277295E2,1.010314713E3
1.691011875E2,1.010316696E3
1.701746205E2,1.010320587E3
1.712480645E2,1.010327835E3
