"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.033166668E-3,-2.907399833E-1,-7.486043125E-2,-1.301831961E0
2.588316667E-2,-3.783567250E-1,1.936302334E-1,-1.232087731E0
4.573216667E-2,-5.028526187E-1,2.122005224E-1,-9.597293735E-1
6.558116667E-2,-5.755090117E-1,2.090947330E-1,-5.770899653E-1
8.543116667E-2,-5.315059423E-1,1.758433729E-1,-3.030175567E-1
1.052801667E-1,-4.857974350E-1,2.801725827E-2,-2.298645526E-1
1.251301667E-1,-5.451545715E-1,-3.171181381E-1,7.088720053E-2
1.449791667E-1,-6.405699849E-1,-6.280263662E-1,4.379918575E-1
1.648291667E-1,-5.725845098E-1,-6.108865142E-1,7.736377716E-1
1.846781667E-1,-3.978330493E-1,-4.562904239E-1,9.368280768E-1
2.045281667E-1,-2.741198242E-1,-3.729186356E-1,1.160542607E0
2.243771667E-1,-2.096697986E-1,-3.437076807E-1,1.361905932E0
2.442271667E-1,-1.604105681E-1,-2.633881867E-1,1.438031077E0
2.640761667E-1,-9.723282605E-2,-1.912312508E-1,1.443005443E0
2.839251667E-1,-5.756136402E-2,-1.737158597E-1,1.312740088E0
3.037751667E-1,-1.064840779E-1,-1.869255304E-1,1.068402171E0
3.236241667E-1,-2.208516449E-1,-1.220972911E-1,7.563821673E-1
3.434741667E-1,-2.295370549E-1,3.525753319E-1,3.009346128E-1
3.633231667E-1,-1.713796556E-1,9.870662093E-1,-2.018046826E-1
3.831731667E-1,-1.564712524E-1,1.261734486E0,-4.418470562E-1
4.030221667E-1,-8.149750531E-2,1.185776711E0,-6.491863132E-1
4.228721667E-1,-2.248622663E-2,9.419092536E-1,-8.496726751E-1
4.427211667E-1,5.930852145E-3,6.084219813E-1,-9.386524558E-1
4.625711667E-1,-7.322469354E-2,2.346047312E-1,-8.385185599E-1
4.824201667E-1,-1.070952490E-1,-4.200346395E-2,-4.955609441E-1
5.022701667E-1,-9.885092825E-2,2.076250762E-1,-1.388704330E-1
5.221191667E-1,6.640715525E-3,8.064103127E-1,1.975909770E-1
5.419681667E-1,1.005792171E-1,1.320514441E0,5.657370090E-1
5.618175000E-1,6.107836217E-2,1.308125138E0,9.807208180E-1
5.816665000E-1,-5.536859855E-2,6.349589825E-1,9.361029267E-1
6.015165000E-1,-3.305952251E-1,-5.693442225E-1,7.837538123E-1
6.213655000E-1,-5.352563262E-1,-1.271527052E0,7.928261757E-1
6.412155000E-1,-3.026692867E-1,-9.010217786E-1,7.308835983E-1
6.610645000E-1,2.234165221E-1,2.822569609E-1,6.444606781E-1
6.809145000E-1,5.249404311E-1,1.126691580E0,5.657983422E-1
7.007635000E-1,5.870040059E-1,8.538611531E-1,1.864310652E-1
7.206125000E-1,4.149412215E-1,-8.918126673E-2,-3.305901587E-1
7.404625000E-1,1.338306218E-1,-9.116190672E-1,-7.392634749E-1
7.603115000E-1,-1.081826985E-1,-1.254952073E0,-9.622020721E-1
7.801615000E-1,-1.681114882E-1,-8.499295115E-1,-9.466951489E-1
8.000105000E-1,-3.393263905E-4,2.980218530E-1,-7.402610183E-1
8.198605000E-1,8.350756019E-2,1.065927625E0,-3.648417890E-1
8.397095000E-1,1.306694234E-3,1.059684396E0,2.576439641E-3
8.595595000E-1,-1.587149054E-1,5.897431970E-1,1.637744457E-1
8.794085000E-1,-3.441002071E-1,5.438441783E-2,2.449142337E-1
8.992585000E-1,-4.555520713E-1,-2.917061746E-1,3.481169939E-1
9.191075000E-1,-5.229160190E-1,-3.853585720E-1,5.284816623E-1
9.389575000E-1,-5.671365857E-1,-4.404075742E-1,8.229109645E-1
9.588065000E-1,-5.199789405E-1,-4.314244688E-1,1.042746902E0
9.786555000E-1,-4.684187770E-1,-5.037119985E-1,1.402029514E0
9.985055000E-1,-4.436983466E-1,-3.467537165E-1,2.027111530E0
1.018354500E0,-3.264704645E-1,-2.333793044E-1,2.453184843E0
1.038204500E0,-1.822334975E-1,-2.804121971E-1,3.127620220E0
1.058053500E0,8.997207135E-2,-4.864491522E-1,3.750561953E0
1.077903500E0,5.283473134E-1,-7.390795350E-1,4.676524639E0
1.097752500E0,1.086731911E0,-8.672239780E-1,5.780069351E0
1.117602500E0,1.483455300E0,-2.531675994E-1,6.770777702E0
1.137451500E0,1.735428452E0,9.989226460E-1,7.460053921E0
1.157301500E0,1.697918057E0,2.315400600E0,7.283432961E0
1.177150500E0,1.642414212E0,2.081977367E0,6.553380966E0
1.196999500E0,1.924405694E0,1.437280655E0,4.599166393E0
1.216849500E0,2.208264828E0,1.850193143E0,2.044107914E0
1.236698500E0,2.310730934E0,4.267498970E0,-6.610692143E-1
1.256548500E0,2.153125286E0,5.919899464E0,-3.882497311E0
1.276397500E0,1.628782392E0,6.116317749E0,-7.957714081E0
1.296247500E0,7.709168196E-1,4.938009262E0,-1.160947895E1
1.316096500E0,-8.652288914E-1,4.644615173E0,-1.416377640E1
1.335946500E0,-2.554646492E0,5.107644081E0,-1.449301624E1
1.355795500E0,-2.728409529E0,5.618080616E0,-1.448884964E1
1.375644500E0,-1.378798366E0,4.951956272E0,-1.292190266E1
1.395494500E0,-4.425269961E-1,2.515641689E0,-1.011250973E1
1.415343500E0,1.437195897E0,-9.613739848E-1,-6.069793224E0
1.435193500E0,9.299552441E-1,-4.137714863E0,-2.211531162E0
1.455042500E0,4.352163672E-1,-5.213714123E0,6.038401127E-1
1.474892500E0,2.793357670E-1,-4.754831791E0,3.006992102E0
1.494741500E0,-2.608648539E-1,-2.772862434E0,5.061920643E0
1.514591500E0,-5.935005546E-1,-1.034286141E0,5.432814598E0
1.534440500E0,-4.478951395E-1,-9.853489399E-1,4.565168381E0
1.554290292E0,1.567496918E-3,-1.042267799E0,2.742440224E0
1.574140292E0,5.965819955E-1,-8.237097859E-1,1.265766501E0
