"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.983041668E-3,8.205935669E-1,-1.808688812E0,5.394781494E0
2.183304167E-2,1.891017609E0,-5.763015747E-2,5.870342560E0
4.168204167E-2,3.278632050E0,3.633693695E0,5.411097565E0
6.153104167E-2,6.267466736E0,9.333690491E0,3.442840576E0
8.138004167E-2,1.152273834E1,1.228659988E1,1.114282837E0
1.012300417E-1,1.557780579E1,1.358455078E1,-1.725162506E0
1.210790417E-1,1.893756912E1,1.317140991E1,-4.585414581E0
1.409280417E-1,1.918665115E1,1.198976715E1,-5.822591858E0
1.607770417E-1,1.652398819E1,9.967921600E0,-5.538632355E0
1.806270417E-1,1.241158997E1,7.779472504E0,-4.312232666E0
2.004760417E-1,8.958420868E0,5.299729156E0,-2.716251526E0
2.203250417E-1,7.062164154E0,3.149151306E0,-1.263073425E0
2.401740417E-1,6.729705505E0,1.270258484E0,-4.664300537E-1
2.600240417E-1,7.034920807E0,1.770817566E-1,4.701722717E-1
2.798730417E-1,7.529791718E0,-1.134490814E0,1.558558960E0
2.997220417E-1,7.027586060E0,-1.595532074E0,2.329605560E0
3.195710417E-1,5.777385864E0,-1.514400787E0,2.755619659E0
3.394210417E-1,4.688999176E0,-1.636696472E0,3.367696838E0
3.592700417E-1,4.073628845E0,-2.404150543E0,3.705693970E0
3.791190417E-1,4.346661072E0,-2.875670013E0,3.648512878E0
3.989680417E-1,5.064268799E0,-3.238814850E0,3.911366272E0
4.188180417E-1,5.329217834E0,-3.761378174E0,4.240082703E0
4.386670417E-1,5.616021423E0,-4.420906677E0,4.364474030E0
4.585160417E-1,6.455475769E0,-4.381837921E0,4.496499481E0
4.783650417E-1,7.234904938E0,-4.672982483E0,4.437671814E0
4.982150417E-1,7.190896454E0,-4.775968323E0,3.690276031E0
5.180640417E-1,6.380930786E0,-4.556075592E0,2.336640930E0
5.379130417E-1,5.416486359E0,-4.619992676E0,8.143066406E-1
5.577620417E-1,6.059249725E0,-5.576802979E0,-1.345102844E0
5.776120417E-1,7.514822845E0,-5.548511810E0,-4.683909760E0
5.974610417E-1,8.110733643E0,-4.443509674E0,-8.141569519E0
6.173100417E-1,8.186775513E0,-2.700384521E0,-1.104463257E1
6.371590417E-1,1.162153290E1,3.121309204E0,-1.473670486E1
6.570080417E-1,1.399245255E1,1.548200500E1,-2.086121887E1
6.768580417E-1,1.111678253E1,3.082420074E1,-3.053664871E1
6.967070417E-1,2.465373230E0,4.640649719E1,-4.285767700E1
7.165560417E-1,-1.034349060E1,4.728516998E1,-5.782699814E1
7.364050417E-1,-1.702769073E1,2.810884735E1,-7.355898331E1
7.562554167E-1,-1.649375107E1,5.576802979E0,-7.866172211E1
7.761044167E-1,-1.055051010E1,-1.704370743E1,-7.844766724E1
7.959534167E-1,-3.809727631E0,-4.571972534E1,-7.819349579E1
8.158024167E-1,1.800455933E1,-7.788334076E1,-7.553352722E1
8.356514167E-1,1.401355865E1,-7.453540283E1,-4.057267868E1
8.555014167E-1,-4.858297119E0,-7.768709885E1,-1.117231705E1
8.753504167E-1,3.835025024E-1,-7.319389252E1,1.129491211E1
8.951994167E-1,-3.460653534E0,-5.179095016E1,1.962868195E1
9.150484167E-1,1.714085541E0,-3.794489319E1,1.888951904E1
9.348974167E-1,8.285719757E0,-2.463412308E1,1.483055969E1
9.547464167E-1,1.161150375E1,-1.450199295E1,7.781119080E0
9.745964167E-1,9.667047272E0,-6.964866486E0,-3.194057922E0
9.944454167E-1,7.670948181E0,-8.363108826E-1,-1.521196655E1
1.014294417E0,1.268357437E1,5.279820557E0,-2.531460800E1
1.034143417E0,1.354203918E1,1.117516113E1,-3.340124176E1
1.053993417E0,1.509984970E1,1.011192215E1,-3.938744339E1
1.073842417E0,1.829645233E1,9.867181091E0,-3.702640320E1
1.093691417E0,2.031545380E1,8.525371399E0,-2.890908325E1
1.113540417E0,1.946567093E1,4.718936920E0,-1.796010178E1
1.133390417E0,1.487546631E1,-2.070045319E0,-1.011326935E1
1.153239417E0,5.698799286E0,-6.655759277E0,-5.842500458E0
1.173088417E0,-5.296885071E0,-9.232500916E0,-6.095923462E0
1.192937417E0,-1.034408936E1,-6.628366241E0,-8.443791046E0
1.212787417E0,-1.025188110E1,-2.561024323E0,-9.658964081E0
1.232636417E0,-4.395758972E0,-1.798360291E0,-8.374485168E0
1.252485417E0,3.597918091E0,-1.106499023E0,-5.475314026E0
1.272334417E0,8.774603119E0,4.867877197E-1,-3.979474640E0
1.292184417E0,1.159069702E1,1.613195343E0,-3.446732483E0
1.312033417E0,1.336166428E1,2.157912598E0,-2.389181671E0
1.331882417E0,1.381656830E1,2.101330261E0,-1.156794434E0
1.351731417E0,1.239228012E1,2.084415436E0,-7.035369873E-1
1.371581417E0,1.075752960E1,2.423310699E0,-7.149133301E-1
1.391430417E0,9.807604980E0,2.473456421E0,-4.930746460E-1
1.411279417E0,8.944499817E0,3.054847412E0,2.151026917E-1
1.431128417E0,8.786129150E0,3.642974396E0,3.354524231E-1
1.450978417E0,9.219328308E0,3.642675018E0,1.212478638E-2
