"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.079608334E-2,1.337423813E1,1.399290161E0,9.173074493E0
4.064808333E-2,1.332154770E1,1.376238098E0,9.142687683E0
6.049908334E-2,1.288041504E1,1.765728149E0,8.896749115E0
8.035008334E-2,1.201656143E1,2.268382874E0,8.545429688E0
1.002020833E-1,1.096110626E1,2.730921021E0,8.052953796E0
1.200530833E-1,1.009635452E1,3.065175934E0,7.503296814E0
1.399050833E-1,9.380992126E0,2.970273285E0,6.815028076E0
1.597560833E-1,8.734486542E0,2.859503632E0,6.135740662E0
1.796070833E-1,8.174051971E0,2.472558289E0,5.648054810E0
1.994590833E-1,7.736511841E0,1.951192474E0,5.273683319E0
2.193100833E-1,7.414980469E0,1.247805176E0,4.943470001E0
2.391620833E-1,7.059020691E0,8.711883545E-1,4.562512207E0
2.590130833E-1,6.188131714E0,3.333567810E-1,3.690575409E0
2.788640833E-1,4.967120819E0,7.424560547E-2,2.705174561E0
2.987160833E-1,4.520599365E0,-7.083270264E-1,2.373314667E0
3.185670833E-1,3.435206451E0,-7.264393616E-1,1.880389709E0
3.384190833E-1,2.839295654E0,-9.375004578E-1,2.148182831E0
3.582700833E-1,2.546055450E0,-7.737409973E-1,2.539768524E0
3.781220833E-1,2.656525726E0,-2.634521484E-1,3.056793365E0
3.979730833E-1,2.783611450E0,2.559677124E-2,2.846929779E0
4.178240833E-1,2.885100403E0,1.476529541E0,2.488874359E0
4.376760833E-1,3.575464783E0,2.927013245E0,1.793719940E0
4.575270833E-1,5.794450378E0,4.172872467E0,1.256936188E0
4.773790833E-1,9.599986725E0,4.671335907E0,4.535568237E-1
4.972300833E-1,1.456905350E1,4.936284943E0,-6.517446899E-1
5.170810833E-1,1.965278183E1,5.489534454E0,-1.794019318E0
5.369330833E-1,2.130893784E1,7.285200348E0,-2.874173126E0
5.567840833E-1,2.023327469E1,9.561666412E0,-3.938010864E0
5.766360833E-1,1.731344650E1,1.067041077E1,-3.903133392E0
5.964864583E-1,1.425141403E1,1.086515579E1,-3.138822784E0
6.163374583E-1,1.175086395E1,1.002540207E1,-2.343376923E0
6.361894583E-1,9.197174377E0,8.354576569E0,-1.753303986E0
6.560404583E-1,7.112010498E0,6.614295502E0,-1.525926819E0
6.758924583E-1,6.492149506E0,3.889062653E0,-1.546883240E0
6.957434583E-1,8.006101227E0,6.248007202E-1,-1.022373962E0
7.155944583E-1,9.327852631E0,-1.529070282E0,-7.605683899E-1
7.354464583E-1,9.141490173E0,-2.799927521E0,-7.165599060E-1
7.552974583E-1,8.002658386E0,-3.423381042E0,-6.456074524E-1
7.751494583E-1,6.449787598E0,-3.200793915E0,-4.689747620E-1
7.950004583E-1,4.731510773E0,-2.292782135E0,-2.246827698E-1
8.148524583E-1,3.347039795E0,-1.338217163E0,-1.463955688E-1
8.347034583E-1,2.811603241E0,-2.676434326E-1,7.484436035E-3
8.545544583E-1,2.971919861E0,4.382885742E-1,6.840774536E-2
8.744064583E-1,3.356769562E0,1.358874207E0,5.538482666E-2
8.942574583E-1,4.410578156E0,2.142344971E0,4.501139832E-1
9.141094583E-1,6.400390320E0,2.947520599E0,1.183139648E0
9.339604583E-1,8.693471832E0,4.050127716E0,2.062710571E0
9.538114583E-1,1.067310516E1,6.230792999E0,2.882106628E0
