"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.079608334E-2,2.021721303E-1,-1.526930369E-2,6.423873305E-1
4.064808333E-2,2.684517801E-1,1.585142314E-1,3.544407189E-1
6.049908334E-2,3.947061300E-1,2.617249489E-1,-4.060496390E-2
8.035008334E-2,5.473079681E-1,3.270361722E-1,-4.595162868E-1
1.002020833E-1,7.573956847E-1,3.504779935E-1,-7.944380045E-1
1.200530833E-1,1.013170362E0,3.463501632E-1,-1.113071561E0
1.399050833E-1,1.283544302E0,3.044343591E-1,-1.415997148E0
1.597560833E-1,1.521547556E0,2.822638154E-1,-1.709946752E0
1.796070833E-1,1.759554982E0,1.997784227E-1,-1.865170598E0
1.994590833E-1,1.988340855E0,4.222537577E-2,-1.889940739E0
2.193100833E-1,2.184929371E0,-2.570742071E-1,-1.999902487E0
2.391620833E-1,2.343169928E0,-6.179159880E-1,-2.158585310E0
2.590130833E-1,2.362830877E0,-1.135351777E0,-2.194154739E0
2.788640833E-1,2.128923416E0,-1.490701914E0,-1.993117571E0
2.987160833E-1,1.894944191E0,-1.762309790E0,-1.774230719E0
3.185670833E-1,1.609275341E0,-1.666636944E0,-1.440127015E0
3.384190833E-1,1.404033422E0,-1.238048553E0,-1.094723105E0
3.582700833E-1,1.244142771E0,-5.509158969E-1,-7.027877569E-1
3.781220833E-1,1.137201905E0,3.583333492E-1,-3.938850760E-1
3.979730833E-1,1.133633256E0,7.468293309E-1,-7.871897519E-2
4.178240833E-1,1.058613181E0,3.173296452E-1,2.187688947E-1
4.376760833E-1,9.151238799E-1,-5.786733031E-1,6.223192811E-1
4.575270833E-1,7.629415393E-1,-1.424426556E0,1.093084693E0
4.773790833E-1,6.909674406E-1,-1.974010944E0,1.496988654E0
4.972300833E-1,7.228609324E-1,-1.712996006E0,1.530781388E0
5.170810833E-1,7.421455979E-1,-3.879446983E-1,1.179667115E0
5.369330833E-1,7.239590287E-1,1.216965437E0,5.636443496E-1
5.567840833E-1,5.413453579E-1,2.123989344E0,-7.276177406E-2
5.766360833E-1,3.098213077E-1,2.283185005E0,-5.914642811E-1
5.964864583E-1,1.324205995E-1,2.110140800E0,-9.032112360E-1
6.163374583E-1,6.393490732E-2,1.945989728E0,-1.130217075E0
6.361894583E-1,8.032817394E-2,1.775770426E0,-1.174036026E0
6.560404583E-1,-7.194217760E-3,1.498030901E0,-9.950412512E-1
6.758924583E-1,-1.678410918E-1,8.950983882E-1,-7.855821252E-1
6.957434583E-1,-3.125806153E-1,1.817663312E-1,-6.903935075E-1
7.155944583E-1,-3.299389482E-1,-4.395265579E-1,-8.520788550E-1
7.354464583E-1,-3.510481417E-1,-7.750880718E-1,-9.932190776E-1
7.552974583E-1,-3.341714144E-1,-7.177703977E-1,-9.897314310E-1
7.751494583E-1,-2.280841619E-1,-2.910083830E-1,-8.482280970E-1
7.950004583E-1,-2.638667822E-2,2.335098833E-1,-6.086691618E-1
8.148524583E-1,1.205872223E-1,5.161993504E-1,-2.220909745E-1
8.347034583E-1,1.418533474E-1,5.133609772E-1,1.916403621E-1
8.545544583E-1,5.725720897E-2,2.665602565E-1,5.888850093E-1
8.744064583E-1,-1.489161402E-1,-1.829373389E-1,9.583877325E-1
8.942574583E-1,-3.311522305E-1,-6.035027504E-1,1.271209240E0
9.141094583E-1,-3.347007334E-1,-8.589896560E-1,1.497450471E0
9.339604583E-1,-2.624958158E-1,-9.194818139E-1,1.479287267E0
9.538114583E-1,-2.538321316E-1,-1.020019412E0,1.406130314E0
9.736634583E-1,-4.492734075E-1,-9.716873765E-1,1.333928466E0
9.935144583E-1,-5.615853071E-1,-5.572120547E-1,1.002618670E0
1.013366458E0,-6.148518324E-1,1.068326309E-1,5.812393427E-1
1.033217458E0,-5.460221767E-1,6.855194569E-1,1.531855166E-1
1.053068458E0,-3.427480459E-1,9.409860373E-1,-1.919331551E-1
1.072920458E0,-1.502669901E-1,7.983450890E-1,-4.363079369E-1
1.092771458E0,-5.906467885E-2,4.083779752E-1,-5.682153106E-1
1.112623458E0,-2.974105813E-2,-8.688023314E-3,-5.811979175E-1
1.132474458E0,-2.767897211E-2,-2.535302639E-1,-5.263538361E-1
1.152325458E0,-4.497229308E-2,-2.560080886E-1,-3.875780404E-1
1.172177458E0,-5.576425046E-2,-6.965675205E-2,-3.189999759E-1
1.192028458E0,-2.793539781E-3,1.683339477E-1,-3.910092413E-1
1.211880458E0,2.116281353E-2,3.634007871E-1,-5.100327730E-1
1.231731458E0,-3.236319125E-2,4.540314972E-1,-5.373262763E-1
1.251582458E0,-1.649195850E-1,4.032362700E-1,-4.145056903E-1
