"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.151999999E-3,7.674840088E0,3.598516846E0,-4.879852295E-2
1.769600000E-2,9.112749939E0,4.171974335E0,-2.151026917E-1
3.754500000E-2,1.004995102E1,4.391717377E0,-5.915698242E-1
5.739400000E-2,1.120494919E1,4.496499481E0,-1.072369995E0
7.724300000E-2,1.223495728E1,4.402944031E0,-1.698368225E0
9.709200000E-2,1.338202194E1,4.335733795E0,-2.367027740E0
1.169410000E-1,1.443328583E1,3.960164795E0,-3.253783722E0
1.367900000E-1,1.452070404E1,3.721560974E0,-4.086352386E0
1.566390000E-1,1.395113846E1,3.809428253E0,-4.558021545E0
1.764870000E-1,1.317111053E1,3.725602570E0,-4.456981659E0
1.963360000E-1,1.238778946E1,3.326682129E0,-4.068838806E0
2.161850000E-1,1.152707932E1,2.856360168E0,-3.506607971E0
2.360340000E-1,1.049198181E1,2.446063385E0,-3.035238190E0
2.558830000E-1,9.459429016E0,2.062560883E0,-2.424208832E0
2.757320000E-1,8.765771484E0,1.604812775E0,-1.841470642E0
2.955810000E-1,8.352780304E0,1.250649261E0,-1.329235840E0
3.154300000E-1,7.909102936E0,1.221759338E0,-8.601113892E-1
3.352780000E-1,7.187154236E0,1.258882141E0,-5.144801331E-1
3.551270000E-1,6.448290710E0,1.543141022E0,-4.251159668E-2
3.749760000E-1,5.898034973E0,1.954635315E0,3.228785706E-1
3.948250000E-1,5.635181580E0,2.207609253E0,7.033872986E-1
4.146740000E-1,5.696254578E0,2.637664948E0,1.157542877E0
4.345230000E-1,5.877078552E0,3.336411896E0,1.707798615E0
4.543720000E-1,6.221512299E0,4.377796326E0,2.308200073E0
4.742210000E-1,6.338868256E0,5.505251770E0,2.722688141E0
4.940700000E-1,6.713688812E0,6.558910675E0,2.930007019E0
5.139180000E-1,7.463629303E0,7.505093079E0,3.285368042E0
5.337670000E-1,8.367300110E0,8.449778595E0,3.569776611E0
5.536160000E-1,9.176068268E0,9.044042816E0,3.726500702E0
5.734650000E-1,9.708361359E0,9.421258392E0,3.841461639E0
5.933140000E-1,9.884844360E0,9.556576996E0,4.144431610E0
6.131630000E-1,9.820777588E0,9.435778198E0,4.540657654E0
6.330120000E-1,9.509724426E0,8.963210907E0,4.608915710E0
6.528610000E-1,8.997789001E0,8.289312286E0,4.234095154E0
6.727090000E-1,8.532257080E0,7.506589966E0,3.637884979E0
6.925580000E-1,8.005951538E0,6.823260956E0,3.358715515E0
7.124070000E-1,7.123087463E0,6.070626068E0,3.190016327E0
7.322560000E-1,5.947731628E0,5.454806671E0,2.845881958E0
7.521050000E-1,4.867877197E0,4.874762878E0,2.243833923E0
7.719540000E-1,4.356690216E0,4.204307098E0,1.566193085E0
7.918030000E-1,4.251459045E0,3.759432220E0,1.000818787E0
8.116520000E-1,4.368964691E0,3.580853577E0,7.159611511E-1
8.315000000E-1,4.613256683E0,3.662583618E0,5.191204834E-1
8.513490000E-1,5.459896088E0,4.076323242E0,6.152206421E-2
8.711985833E-1,7.077881470E0,4.356690216E0,-6.012995911E-1
