"Time (s)","X (hPa)"
-5.579557917E-1,1.012991638E3
4.482792083E-1,1.012994385E3
1.454502208E0,1.012997131E3
2.460755208E0,1.013007355E3
3.466998208E0,1.013012619E3
3.817568208E0,1.013012619E3
4.890850208E0,1.013012619E3
5.964172208E0,1.013012085E3
7.037527208E0,1.013010254E3
8.110901208E0,1.013008575E3
9.184280208E0,1.013007507E3
1.025766821E1,1.013007507E3
1.133104521E1,1.013006668E3
1.240443521E1,1.013006668E3
1.347782821E1,1.013007278E3
1.455122321E1,1.013007278E3
1.562464221E1,1.013006363E3
1.669799921E1,1.013006134E3
1.777137921E1,1.013005981E3
1.884480521E1,1.013004074E3
1.991825221E1,1.013004074E3
2.099165821E1,1.013004913E3
2.206508521E1,1.013004913E3
2.313851421E1,1.013006134E3
2.421194221E1,1.013007660E3
2.528540021E1,1.013007736E3
2.635886221E1,1.013009338E3
2.743230221E1,1.013010864E3
2.850577321E1,1.013011246E3
2.957922521E1,1.013012619E3
3.065271421E1,1.013012772E3
3.172617321E1,1.013013000E3
3.279964321E1,1.013013000E3
3.387316521E1,1.013012924E3
3.494664421E1,1.013012314E3
3.602015421E1,1.013011246E3
3.709367521E1,1.013010864E3
3.816719721E1,1.013009109E3
3.924069021E1,1.013009109E3
4.031419621E1,1.013008728E3
4.138764521E1,1.013009186E3
4.246110221E1,1.013009186E3
4.353454921E1,1.013009186E3
4.460799221E1,1.013005981E3
4.568143321E1,1.013001556E3
4.675485121E1,1.012999496E3
4.782828521E1,1.012996292E3
4.890172021E1,1.012994614E3
4.997512921E1,1.012994614E3
5.104857721E1,1.012994156E3
5.212203221E1,1.012994385E3
5.319546521E1,1.012994385E3
5.426895821E1,1.012995071E3
5.534237621E1,1.012997208E3
5.641577021E1,1.012997208E3
5.748915921E1,1.012999039E3
5.856256721E1,1.012999039E3
5.963601421E1,1.012999039E3
6.070942621E1,1.012996521E3
6.178282121E1,1.012993393E3
6.285620921E1,1.012993011E3
6.392962121E1,1.012991638E3
6.500307021E1,1.012991638E3
6.607646121E1,1.012991714E3
6.714984721E1,1.012993774E3
6.822329821E1,1.012994156E3
6.929672721E1,1.012994232E3
7.037013121E1,1.012996750E3
7.144354421E1,1.012997360E3
7.251694921E1,1.012998657E3
7.359041421E1,1.012998886E3
7.466394321E1,1.012998886E3
7.573737921E1,1.012997971E3
7.681079821E1,1.012997513E3
7.788415121E1,1.012994156E3
7.895749821E1,1.012993088E3
8.003088921E1,1.012991638E3
8.110421521E1,1.012991638E3
8.217760921E1,1.012990265E3
8.325099321E1,1.012989578E3
8.432437121E1,1.012988739E3
8.539774421E1,1.012988510E3
8.647116421E1,1.012988281E3
8.754453721E1,1.012988129E3
8.861789621E1,1.012988129E3
8.969130721E1,1.012987900E3
9.076468621E1,1.012986221E3
9.183807521E1,1.012985306E3
9.291149621E1,1.012983017E3
9.398495321E1,1.012982407E3
9.505837321E1,1.012981949E3
9.613174221E1,1.012981949E3
9.720513721E1,1.012981949E3
9.827853421E1,1.012981949E3
9.935195621E1,1.012982178E3
1.004253992E2,1.012981644E3
1.014987952E2,1.012981567E3
1.025721822E2,1.012981110E3
1.036455712E2,1.012979736E3
1.047189642E2,1.012978897E3
1.057923162E2,1.012978897E3
1.068657062E2,1.012979889E3
1.079390922E2,1.012981339E3
1.090124802E2,1.012981339E3
1.100859052E2,1.012981339E3
1.111593362E2,1.012981186E3
1.122327802E2,1.012979660E3
1.133062232E2,1.012978668E3
1.143796702E2,1.012977829E3
1.154531272E2,1.012977829E3
1.165265562E2,1.012977753E3
