"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.273400000E-2,2.523262501E-1,-6.514236927E-1,2.961651981E-1
3.258300000E-2,2.238800228E-1,-7.955603004E-1,3.017348349E-1
5.243200000E-2,2.396756858E-1,-7.332724929E-1,4.051992893E-1
7.228100000E-2,3.209535182E-1,-4.276069999E-1,4.900154769E-1
9.213000000E-2,4.172343910E-1,-2.906449325E-2,5.136875510E-1
1.119790000E-1,3.893888593E-1,3.380237818E-1,3.903641403E-1
1.318280000E-1,2.849825919E-1,4.606948197E-1,2.225625217E-1
1.516760000E-1,8.304284513E-2,3.487954140E-1,2.777555212E-2
1.715250000E-1,-1.605979502E-1,1.829792559E-1,-9.174471349E-2
1.913740000E-1,-2.856771350E-1,1.466941386E-1,-1.935413778E-1
2.112230000E-1,-2.980499566E-1,2.773772180E-1,-3.066319823E-1
2.310720000E-1,-2.738803029E-1,4.736889899E-1,-4.369946420E-1
2.509210000E-1,-2.905341983E-1,5.572085977E-1,-5.088572502E-1
2.707700000E-1,-3.173005581E-1,5.266353488E-1,-4.722376168E-1
2.906190000E-1,-2.613306046E-1,4.990913868E-1,-4.040921628E-1
3.104670000E-1,-1.593170017E-1,4.858147502E-1,-3.540974557E-1
3.303160000E-1,-8.752005547E-2,4.808451831E-1,-3.229512572E-1
3.501650000E-1,-2.912633494E-2,4.433291554E-1,-2.709430158E-1
3.700140000E-1,1.883200742E-2,3.800972402E-1,-1.871502697E-1
3.898630000E-1,3.361040726E-2,2.862688899E-1,-6.964527071E-2
4.097120000E-1,6.432784349E-2,1.143834218E-1,-1.061603613E-2
4.295610000E-1,7.540816069E-2,-8.279196173E-2,-8.534029126E-2
4.494100000E-1,1.429448370E-2,-2.816162407E-1,-1.377032548E-1
4.692580000E-1,-3.924468532E-2,-4.214490950E-1,-1.421546787E-1
4.891070000E-1,-8.916824311E-2,-4.934506118E-1,-1.460713297E-1
5.089560000E-1,-1.420234442E-1,-4.823730588E-1,-1.576483101E-1
5.288050000E-1,-1.475837529E-1,-4.875947833E-1,-2.029847801E-1
5.486540000E-1,-1.138830781E-1,-5.349027514E-1,-2.389744222E-1
5.685030000E-1,-1.607248932E-1,-5.644694567E-1,-1.914220899E-1
5.883520000E-1,-1.888092011E-1,-4.938059449E-1,-1.031848490E-1
6.082010000E-1,-1.433265209E-1,-3.125428557E-1,2.100789174E-2
6.280490000E-1,1.568850689E-2,-9.230843186E-2,1.121149361E-1
6.478980000E-1,1.540645063E-1,9.767176211E-2,1.912213266E-1
6.677470000E-1,1.955674440E-1,1.887990236E-1,2.548387349E-1
6.875960000E-1,2.007987052E-1,2.611401975E-1,2.091709226E-1
7.074450000E-1,2.355548143E-1,3.752830029E-1,1.145253628E-1
7.272940000E-1,3.096852601E-1,4.928673506E-1,5.162577704E-2
7.471430000E-1,3.564293981E-1,5.568714738E-1,7.261797786E-2
7.669920000E-1,3.316735029E-1,5.346299410E-1,1.546225548E-1
7.868400000E-1,2.478091121E-1,4.509835839E-1,1.764562726E-1
8.066890000E-1,1.190180108E-1,2.859980166E-1,1.033716202E-1
8.265380000E-1,-1.297835447E-2,5.203786120E-2,-1.969907060E-2
8.463870000E-1,-9.827534854E-2,-3.457894325E-1,-1.183978990E-1
8.662365833E-1,-1.316160113E-1,-7.449104786E-1,-2.216104567E-1
8.860855833E-1,-1.368107647E-1,-1.056429744E0,-1.558113098E-1
9.059345833E-1,-1.813132465E-1,-1.346478462E0,1.509762108E-1
9.257835833E-1,-2.381899804E-1,-1.395829678E0,3.630654514E-1
9.456315833E-1,-2.538141608E-1,-7.512234449E-1,4.246462882E-1
9.654805833E-1,-1.758802831E-1,3.344754577E-1,4.356539249E-1
9.853295833E-1,-4.961392656E-2,1.125854254E0,4.585776925E-1
1.005178583E0,-3.110230900E-2,1.318847656E0,4.012637734E-1
1.025027583E0,-6.615159661E-2,9.644592404E-1,2.456259727E-1
1.044876583E0,-1.923603117E-1,3.423413038E-1,8.309340477E-2
1.064725583E0,-3.461385369E-1,-2.969608605E-1,-1.519918069E-2
1.084574583E0,-4.352186918E-1,-7.096902728E-1,-1.254110634E-1
1.104423583E0,-4.191918373E-1,-9.217531681E-1,-1.951352805E-1
1.124271583E0,-3.364696801E-1,-8.373605609E-1,-2.676302195E-1
1.144120583E0,-2.286311835E-1,-4.861589372E-1,-3.710013926E-1
1.163969583E0,-1.405591667E-1,-6.850150228E-2,-4.270711541E-1
1.183818583E0,-1.303292513E-1,2.360127866E-1,-4.492345452E-1
1.203667583E0,-1.449386626E-1,3.707417548E-1,-4.241108298E-1
1.223516583E0,-2.080639750E-1,3.529680073E-1,-4.085786939E-1
1.243365583E0,-2.901376784E-1,2.180490196E-1,-4.128865302E-1
1.263214583E0,-3.091174662E-1,-4.618782178E-2,-3.573499024E-1
1.283062583E0,-2.749546170E-1,-2.237924933E-1,-2.237578779E-1
1.302911583E0,-2.006083280E-1,-2.467319816E-1,-7.049753517E-2
1.322760583E0,-5.302289501E-2,-2.181122899E-1,7.415834814E-2
1.342609583E0,7.653056830E-2,-1.807809025E-1,1.490096897E-1
1.362458583E0,1.605952382E-1,-2.058809847E-1,1.523310244E-1
1.382307583E0,2.148068100E-1,-2.536876798E-1,8.205999434E-2
1.402156583E0,2.826888859E-1,-1.732629836E-1,-7.099873573E-2
1.422005583E0,3.207929134E-1,-1.085172594E-2,-1.945302188E-1
1.441854583E0,3.487633169E-1,1.468565464E-1,-2.412818968E-1
1.461702583E0,3.647349775E-1,3.619498610E-1,-3.343008459E-1
1.481551583E0,2.775817513E-1,5.855205059E-1,-4.083473682E-1
1.501400583E0,1.540748626E-1,7.292934060E-1,-4.039189219E-1
1.521249583E0,4.033799097E-2,6.968761683E-1,-2.487012595E-1
1.541098583E0,-5.804038420E-2,5.417025089E-1,-2.114275843E-2
1.560947583E0,-1.669121236E-1,3.265576661E-1,1.853751987E-1
1.580796583E0,-2.074441910E-1,1.143420935E-1,2.287128866E-1
1.600645583E0,-1.847307831E-1,-7.070810348E-2,1.344635934E-1
1.620494583E0,-1.419081390E-1,-1.916136444E-1,3.420081362E-2
1.640342583E0,-9.740853310E-2,-2.254271656E-1,-3.716050833E-2
1.660191583E0,-3.907908499E-2,-2.312179953E-1,-6.150025502E-2
1.680040583E0,-3.770990763E-3,-2.443452030E-1,3.508785367E-2
1.699889583E0,1.669409103E-3,-1.702715605E-1,8.163666725E-2
1.719738583E0,-2.381902421E-3,-6.873329729E-2,1.113308519E-1
1.739587583E0,2.682337165E-2,-2.724083513E-2,8.228423446E-2
1.759436583E0,6.061501801E-2,-9.173440188E-2,3.972623125E-2
1.779285583E0,7.864636928E-2,-3.007188737E-1,9.902391583E-2
1.799134583E0,5.506421998E-2,-5.211499929E-1,1.891088933E-1
1.818982583E0,-1.651976258E-3,-6.848857999E-1,2.227628976E-1
1.838831583E0,-4.470748827E-2,-7.884728909E-1,1.554422230E-1
1.858680583E0,-7.024967670E-2,-8.994372487E-1,6.755546480E-2
1.878529583E0,-1.323514134E-1,-9.025164843E-1,5.829687789E-2
1.898378583E0,-1.462634951E-1,-7.519287467E-1,4.873197526E-2
1.918227583E0,-8.086612076E-2,-5.635254383E-1,2.921028063E-3
1.938076583E0,-4.557436332E-2,-4.050379395E-1,-7.931008935E-2
1.957925583E0,-5.342932791E-2,-3.342117369E-1,-1.462956220E-1
1.977774583E0,-1.115075275E-1,-3.650030792E-1,-1.509403884E-1
1.997622583E0,-1.741763353E-1,-5.911998153E-1,-1.458703279E-1
2.017471583E0,-2.885041535E-1,-1.155095696E0,-7.661135495E-2
2.037320583E0,-4.342706501E-1,-1.829144478E0,4.540393129E-2
2.057169583E0,-4.978948832E-1,-2.170681238E0,1.286168993E-1
2.077018583E0,-3.973384798E-1,-1.798657775E0,1.772452146E-1
2.096867583E0,-1.360257715E-1,-9.417625666E-1,2.640291154E-1
2.116716583E0,9.133531898E-2,3.229756281E-2,3.909475803E-1
2.136565583E0,1.870223433E-1,7.429867387E-1,4.942717552E-1
2.156414583E0,1.964463592E-1,1.046085238E0,5.000159144E-1
2.176262583E0,1.335821450E-1,9.488003254E-1,4.498005211E-1
2.196111583E0,-1.020744164E-2,4.029574692E-1,3.930712640E-1
2.215960583E0,-1.889702678E-1,-3.676167428E-1,2.845165431E-1
2.235809583E0,-3.123412430E-1,-1.017537117E0,1.687095016E-1
2.255658583E0,-2.911780179E-1,-1.338930726E0,9.267961979E-2
2.275507583E0,-1.069163308E-1,-1.214836836E0,1.174536273E-1
2.295356583E0,1.383489370E-1,-5.998108387E-1,1.652430892E-1
2.315205583E0,3.100342751E-1,1.469211280E-1,1.870813221E-1
2.335054583E0,3.685099185E-1,5.380753875E-1,2.020281553E-1
2.354902583E0,2.452464849E-1,5.299136639E-1,2.261308730E-1
2.374751583E0,2.535419911E-2,1.354947835E-1,2.831864059E-1
2.394600583E0,-2.309428006E-1,-5.149918795E-1,3.365001082E-1
2.414449583E0,-4.913255870E-1,-1.065132260E0,3.668783009E-1
2.434298583E0,-6.138614416E-1,-1.221664429E0,4.576917887E-1
2.454147583E0,-5.180463791E-1,-9.240413904E-1,5.303611755E-1
2.473996583E0,-2.475048751E-1,-3.847468793E-1,4.777849019E-1
2.493845583E0,-6.906359456E-3,1.537002027E-1,3.588160276E-1
2.513694583E0,1.118280590E-1,4.812493920E-1,2.521682680E-1
2.533543583E0,1.433291137E-1,5.844175816E-1,1.424366385E-1
2.553391583E0,1.067684144E-1,5.721403956E-1,5.624087155E-2
2.573240583E0,9.421233088E-2,6.102056503E-1,-5.082070455E-2
2.593089583E0,1.176656634E-1,7.868797779E-1,-1.419844925E-1
2.612938583E0,1.522857249E-1,1.074307561E0,-2.030570060E-1
2.632787583E0,1.868735403E-1,1.408981800E0,-2.518860102E-1
2.652636583E0,2.231583297E-1,1.701834559E0,-2.563893199E-1
2.672485583E0,2.954830825E-1,1.908564687E0,-2.540963888E-1
2.692334583E0,3.348638117E-1,1.896423697E0,-2.672865391E-1
2.712183583E0,3.215955198E-1,1.679795504E0,-2.767260671E-1
2.732032583E0,3.098153472E-1,1.372768283E0,-2.525096834E-1
2.751880583E0,3.345650434E-1,1.091662288E0,-2.230851501E-1
2.771729583E0,3.123765588E-1,7.792767286E-1,-1.645599008E-1
2.791578583E0,2.347231954E-1,3.797039688E-1,-1.048621535E-1
2.811427583E0,1.781098098E-1,1.446146965E-1,-1.001037285E-1
2.831276583E0,1.910833865E-1,1.562153101E-1,-1.355813444E-1
2.851125583E0,1.636070460E-1,1.855244339E-1,-4.782023653E-2
2.870974458E0,9.234924614E-2,1.280640215E-1,5.123674124E-2
2.890823458E0,5.951107666E-2,2.377971634E-2,5.634516105E-2
2.910672458E0,2.227784321E-2,-2.841859125E-2,2.655711584E-2
2.930521458E0,-1.179528236E-2,-4.353543278E-3,-3.720348701E-2
2.950369458E0,-3.587666526E-2,1.038846448E-1,-1.292642802E-1
2.970218458E0,-7.446783036E-2,2.344677448E-1,-2.147726715E-1
2.990067458E0,-1.166512147E-1,3.038277924E-1,-2.477217317E-1
3.009916458E0,-1.220681369E-1,3.304861486E-1,-2.673010230E-1
3.029765458E0,-7.652941346E-2,2.893035710E-1,-2.885957360E-1
3.049614458E0,-6.947857328E-4,2.071931064E-1,-2.782697678E-1
3.069463458E0,5.305615067E-2,1.718744785E-1,-2.318691611E-1
3.089312458E0,1.354630142E-1,2.319818288E-1,-2.140393555E-1
3.109161458E0,2.074422538E-1,2.550917566E-1,-1.613244116E-1
3.129010458E0,2.758069932E-1,2.002052963E-1,-1.750605255E-1
3.148858458E0,3.384356797E-1,1.641844809E-1,-2.213167101E-1
3.168707458E0,3.871877491E-1,2.926424742E-1,-2.463354468E-1
3.188556458E0,4.018710554E-1,4.168657660E-1,-2.243029624E-1
3.208405458E0,4.257333577E-1,3.932457268E-1,-1.959133446E-1
3.228254458E0,4.100102782E-1,1.771644503E-1,-1.108805239E-1
3.248103458E0,3.603752553E-1,-1.586204171E-1,-2.949922532E-2
3.267952458E0,2.558336556E-1,-5.613572598E-1,3.590375185E-2
3.287801458E0,7.639668882E-2,-7.912918329E-1,1.646934599E-1
3.307650458E0,-8.587595820E-2,-7.791318297E-1,3.145854473E-1
3.327499458E0,-1.483950019E-1,-3.937071264E-1,4.230450094E-1
3.347347458E0,-1.156219393E-1,1.395333856E-1,5.223007202E-1
3.367196458E0,-1.123293117E-2,5.523668528E-1,5.180823803E-1
3.387045458E0,8.271081001E-2,6.437605023E-1,4.184116423E-1
3.406894458E0,1.690543592E-1,3.924516141E-1,2.783830464E-1
3.426743458E0,1.698479503E-1,-4.252167419E-2,1.210281849E-1
3.446592458E0,1.413368583E-1,-4.222713709E-1,-2.853969298E-2
3.466441458E0,1.266411692E-1,-6.115546823E-1,-1.411231160E-1
3.486290458E0,1.798751056E-1,-5.784571767E-1,-2.326538414E-1
3.506139458E0,3.531030416E-1,-3.687979281E-1,-4.167634249E-1
3.525988458E0,4.335367084E-1,-1.207644641E-1,-5.093447566E-1
3.545836458E0,4.084860682E-1,6.557658315E-2,-4.679814577E-1
3.565685458E0,3.351946771E-1,1.718068272E-1,-3.730268776E-1
