"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.244500003E-3,-4.435276794E0,6.040838013E0,9.915680237E0
2.209450000E-2,-5.593268738E0,7.763904877E0,1.056877213E1
4.194550000E-2,-7.218738556E0,1.015817596E1,1.115869537E1
6.179550000E-2,-8.995543671E0,1.292936325E1,1.171718399E1
8.164550000E-2,-1.081830322E1,1.442640015E1,1.172990753E1
1.014965000E-1,-1.210921875E1,1.342902420E1,1.053090088E1
1.213465000E-1,-1.191582092E1,1.154788605E1,8.725205841E0
1.411965000E-1,-1.110420868E1,9.385632477E0,6.840325470E0
1.610475000E-1,-1.003932312E1,7.302264862E0,5.235662384E0
1.808975000E-1,-8.935518494E0,4.874912567E0,4.131259003E0
2.007475000E-1,-7.376360779E0,2.920876007E0,3.478915558E0
2.205985000E-1,-5.699248352E0,1.399589539E-1,3.103496246E0
2.404485000E-1,-5.374423828E0,-2.103276215E0,2.774181061E0
2.602985000E-1,-4.774022369E0,-3.230132904E0,2.242187347E0
2.801495000E-1,-3.624113617E0,-3.544628906E0,1.709594879E0
2.999995000E-1,-2.747835846E0,-2.975811768E0,2.002835083E0
3.198495000E-1,-2.106269989E0,-2.356998596E0,3.199895782E0
3.397005000E-1,-1.704355774E0,-1.784588928E0,4.778063965E0
3.595505000E-1,-1.068029022E0,-7.050338745E-1,6.428531799E0
3.794015000E-1,-1.537303162E-1,9.116043091E-1,7.581883392E0
3.992515000E-1,5.170248413E-1,3.349434814E0,8.791967010E0
4.191015000E-1,-4.263134766E-1,7.467371521E0,1.046204407E1
4.389525000E-1,-3.084336090E0,1.248658401E1,1.185115540E1
4.588025000E-1,-8.317753143E0,1.496962051E1,1.218990097E1
4.786525000E-1,-1.515478546E1,1.409678558E1,1.105391327E1
4.985035000E-1,-2.076556778E1,1.339893677E1,8.440198517E0
5.183535000E-1,-1.997790573E1,1.244302460E1,4.665348358E0
5.382035000E-1,-1.467653000E1,1.139370667E1,5.379812622E-1
5.580545000E-1,-8.603957977E0,9.885143738E0,-3.514840851E0
5.779045000E-1,-4.271367645E0,7.507637787E0,-6.516399078E0
5.977555000E-1,-9.692344666E-1,5.208568726E0,-7.409741364E0
6.176055000E-1,2.708467712E0,9.779164124E-1,-7.290738831E0
6.374555000E-1,6.878945160E0,-2.277064819E0,-5.632038116E0
6.573065000E-1,1.047925827E1,-3.924688568E0,-3.314856720E0
6.771565000E-1,1.191267746E1,-6.093079376E0,-6.697073364E-1
6.970065000E-1,1.142454254E1,-9.777068481E0,2.456242218E0
7.168574583E-1,1.025083328E1,-1.385893021E1,6.234535217E0
7.367074583E-1,9.225016479E0,-1.620006180E1,1.173230255E1
7.565584583E-1,7.742798767E0,-1.822789490E1,1.836875198E1
7.764084583E-1,5.302423553E0,-1.813838104E1,2.498259842E1
7.962584583E-1,-3.109932861E0,-1.582434311E1,3.204117004E1
8.161094583E-1,-1.887948990E1,-1.290690994E1,4.099764496E1
8.359594583E-1,-4.491724411E1,-9.563462677E0,5.186265106E1
8.558094583E-1,-6.160648865E1,2.259700928E0,6.162100845E1
8.756604583E-1,-7.388305939E1,7.998467102E0,6.657839951E1
8.955104583E-1,-7.885616776E1,5.792055359E0,5.636109650E1
9.153604583E-1,-7.853942642E1,-7.281757507E0,3.011497559E1
9.352114583E-1,-7.823406143E1,-2.867003036E1,-1.156045990E0
9.550614583E-1,-7.795234726E1,-5.002671890E1,-2.421873688E1
9.749124583E-1,-7.431311508E1,-7.323251221E1,-3.164718933E1
9.947624583E-1,-4.921795074E1,-7.851861969E1,-3.420297455E1
1.014612458E0,-2.070135132E1,-7.844646973E1,-3.331427261E1
1.034463458E0,7.853418732E0,-7.819663925E1,-3.157399155E1
1.054313458E0,2.506238251E1,-6.450116913E1,-2.362058075E1
1.074163458E0,2.838786713E1,-4.790997070E1,-1.784708679E1
1.094014458E0,2.570065521E1,-3.729434601E1,-1.167093018E1
1.113864458E0,2.276451096E1,-2.973446686E1,-3.775149536E0
1.133715458E0,2.136596924E1,-2.523168045E1,2.489323425E0
1.153565458E0,1.357976074E1,-2.506477753E1,6.182293854E0
1.173415458E0,-1.518891449E0,-2.542897018E1,1.190863586E1
1.193266458E0,-1.937151672E1,-1.793630127E1,2.137405243E1
1.213116458E0,-3.900244400E1,-5.650749207E0,3.332205643E1
1.232966458E0,-6.307613251E1,2.423460388E-1,4.010145859E1
1.252817458E0,-6.415404099E1,3.489693146E0,3.526022598E1
1.272667458E0,-4.686753845E1,2.888543243E0,2.346490448E1
1.292518458E0,-2.886208099E1,-2.778372345E0,1.216729797E1
1.312368458E0,-1.139445511E1,-1.443837524E1,1.006207581E0
1.332218458E0,7.059170380E0,-2.261093033E1,-7.432344360E0
1.352069458E0,2.195723969E1,-1.728784973E1,-7.310048676E0
1.371919458E0,4.103925842E1,-9.788893890E0,-1.382525024E0
1.391769458E0,4.681709335E1,7.129673767E-1,7.254364471E0
1.411620458E0,3.114857620E1,9.618847504E0,8.544381866E0
