"Time (s)","X (hPa)"
-5.503802917E-1,1.010350037E3
4.559767083E-1,1.010358734E3
1.462331708E0,1.010367355E3
2.468726708E0,1.010369034E3
3.475065708E0,1.010370941E3
3.825439708E0,1.010370941E3
4.898922708E0,1.010370941E3
5.972397708E0,1.010370941E3
7.045821708E0,1.010360641E3
8.119235708E0,1.010360641E3
9.192662708E0,1.010360489E3
1.026606471E1,1.010361633E3
1.133947771E1,1.010364380E3
1.241290371E1,1.010364380E3
1.348636271E1,1.010364380E3
1.455983771E1,1.010363388E3
1.563329971E1,1.010361023E3
1.670675471E1,1.010361023E3
1.778023271E1,1.010371552E3
1.885366471E1,1.010374374E3
1.992708471E1,1.010376587E3
2.100053971E1,1.010380630E3
2.207399971E1,1.010380630E3
2.314745171E1,1.010380630E3
2.422088071E1,1.010380249E3
2.529425571E1,1.010382919E3
2.636768771E1,1.010382919E3
2.744117471E1,1.010382919E3
2.851456771E1,1.010383530E3
2.958799371E1,1.010381699E3
3.066142671E1,1.010380630E3
3.173487371E1,1.010376816E3
3.280827971E1,1.010371780E3
3.388168671E1,1.010366364E3
3.495507871E1,1.010360870E3
3.602854671E1,1.010355759E3
3.710204971E1,1.010350800E3
3.817549971E1,1.010350800E3
3.924895771E1,1.010354691E3
4.032243271E1,1.010357666E3
4.139584971E1,1.010362778E3
4.246930771E1,1.010362778E3
4.354277271E1,1.010361099E3
4.461620471E1,1.010354309E3
4.568959871E1,1.010354309E3
4.676303071E1,1.010358353E3
4.783651371E1,1.010358810E3
4.890997371E1,1.010363541E3
4.998340671E1,1.010371170E3
5.105687471E1,1.010376053E3
5.213036971E1,1.010376663E3
5.320381471E1,1.010381088E3
5.427725671E1,1.010381088E3
5.535067271E1,1.010381088E3
5.642412971E1,1.010381317E3
5.749754571E1,1.010381317E3
5.857093571E1,1.010380783E3
5.964433271E1,1.010379639E3
6.071768771E1,1.010376663E3
6.179106171E1,1.010368805E3
6.286445971E1,1.010367203E3
6.393783671E1,1.010366898E3
6.501123671E1,1.010358047E3
6.608467471E1,1.010356827E3
6.715810171E1,1.010356064E3
6.823154871E1,1.010348053E3
6.930501071E1,1.010347137E3
7.037850471E1,1.010346527E3
7.145198871E1,1.010345840E3
7.252542171E1,1.010345001E3
7.359884071E1,1.010340576E3
7.467224471E1,1.010335999E3
7.574570971E1,1.010340576E3
7.681917871E1,1.010348053E3
7.789266871E1,1.010348892E3
7.896614871E1,1.010354691E3
8.003960271E1,1.010358047E3
8.111306871E1,1.010361938E3
8.218653571E1,1.010367966E3
8.325998671E1,1.010375366E3
8.433339671E1,1.010377960E3
8.540679371E1,1.010381241E3
8.648022871E1,1.010382919E3
8.755367871E1,1.010387573E3
8.862711271E1,1.010388641E3
8.970053371E1,1.010391541E3
9.077398471E1,1.010391541E3
9.184743971E1,1.010388794E3
9.292085871E1,1.010388794E3
9.399428171E1,1.010390320E3
9.506770971E1,1.010398483E3
9.614115071E1,1.010409927E3
9.721455471E1,1.010411224E3
9.828797171E1,1.010411224E3
9.936137371E1,1.010410156E3
1.004348257E2,1.010401459E3
1.015083027E2,1.010390091E3
1.025817667E2,1.010382156E3
1.036552237E2,1.010369720E3
1.047287337E2,1.010363617E3
1.058021787E2,1.010359344E3
1.068756267E2,1.010354385E3
1.079491187E2,1.010354385E3
1.090225667E2,1.010366898E3
1.100960277E2,1.010366898E3
1.111695127E2,1.010369110E3
1.122430217E2,1.010366135E3
1.133164697E2,1.010361099E3
1.143899327E2,1.010359650E3
1.154634227E2,1.010357666E3
1.165369297E2,1.010356674E3
1.176103837E2,1.010356674E3
1.186838607E2,1.010356674E3
1.197573717E2,1.010359116E3
1.208309297E2,1.010368195E3
1.219044197E2,1.010368652E3
1.229778897E2,1.010371780E3
1.240513547E2,1.010376282E3
1.251248237E2,1.010377960E3
1.261982507E2,1.010379562E3
1.272717707E2,1.010380402E3
1.283452747E2,1.010381012E3
1.294187727E2,1.010381012E3
1.304922997E2,1.010377426E3
1.315658257E2,1.010375748E3
1.326392667E2,1.010373230E3
1.337127317E2,1.010363846E3
1.347862037E2,1.010360260E3
1.358596747E2,1.010360260E3
1.369331847E2,1.010358582E3
1.380067167E2,1.010363007E3
1.390802017E2,1.010363007E3
1.401536927E2,1.010367737E3
1.412272217E2,1.010367737E3
1.423007107E2,1.010369110E3
1.433742187E2,1.010368652E3
1.444477177E2,1.010368652E3
1.455212297E2,1.010362778E3
1.465947187E2,1.010361328E3
1.476682187E2,1.010361328E3
1.487417337E2,1.010363312E3
1.498152007E2,1.010365295E3
1.508886527E2,1.010367584E3
1.519620877E2,1.010368042E3
1.530354777E2,1.010368271E3
1.541088987E2,1.010369034E3
1.551823397E2,1.010369110E3
1.562557807E2,1.010369415E3
1.573292577E2,1.010369415E3
1.584027167E2,1.010369415E3
1.594761537E2,1.010367432E3
1.605496107E2,1.010365219E3
1.616230567E2,1.010365067E3
1.626965177E2,1.010361252E3
1.637699607E2,1.010354996E3
1.648433907E2,1.010354919E3
1.659168317E2,1.010354385E3
1.669902387E2,1.010347977E3
1.680636697E2,1.010347977E3
1.691370937E2,1.010347977E3
1.702105707E2,1.010350342E3
1.712839827E2,1.010350342E3
1.723573837E2,1.010351105E3
1.734307977E2,1.010355530E3
1.745042167E2,1.010356369E3
1.755776687E2,1.010356369E3
1.766510767E2,1.010355530E3
1.777244727E2,1.010355530E3
1.787979027E2,1.010359344E3
1.798713507E2,1.010363617E3
1.809447737E2,1.010363617E3
1.820182647E2,1.010355988E3
1.830916767E2,1.010352402E3
1.841650797E2,1.010341873E3
1.852385387E2,1.010340271E3
1.863119927E2,1.010333328E3
1.873854837E2,1.010333328E3
1.884589537E2,1.010333939E3
1.895324627E2,1.010338974E3
1.906059497E2,1.010339432E3
1.916794427E2,1.010345078E3
1.927529267E2,1.010345078E3
1.938264407E2,1.010338135E3
1.948999627E2,1.010338135E3
1.959734577E2,1.010339584E3
1.970469637E2,1.010343857E3
1.981204417E2,1.010347366E3
1.991939137E2,1.010347366E3
2.002674107E2,1.010347137E3
2.013408767E2,1.010343628E3
2.024143637E2,1.010338745E3
2.034878367E2,1.010338058E3
2.045613227E2,1.010338745E3
2.056348397E2,1.010340042E3
2.067083237E2,1.010340881E3
2.077818207E2,1.010340881E3
2.088552957E2,1.010337524E3
2.099288027E2,1.010336380E3
2.110022937E2,1.010335846E3
2.120757967E2,1.010324402E3
2.131492357E2,1.010319748E3
2.142226867E2,1.010319366E3
2.152961487E2,1.010316620E3
2.163695927E2,1.010316620E3
2.174430747E2,1.010317688E3
2.185165737E2,1.010317688E3
2.195900827E2,1.010315170E3
2.206635807E2,1.010312424E3
2.217370737E2,1.010309296E3
2.228105807E2,1.010312424E3
2.238841187E2,1.010309296E3
2.249576197E2,1.010309296E3
2.260311477E2,1.010309296E3
2.271047417E2,1.010312805E3
2.281782317E2,1.010316620E3
2.292517157E2,1.010319443E3
2.303252717E2,1.010321884E3
2.313988107E2,1.010321884E3
2.324723437E2,1.010319824E3
2.335459047E2,1.010319824E3
2.346194537E2,1.010323563E3
2.356929757E2,1.010328598E3
2.367665117E2,1.010339355E3
2.378399897E2,1.010347443E3
2.389134777E2,1.010351791E3
2.399869737E2,1.010351791E3
2.410604897E2,1.010352020E3
2.421340517E2,1.010355377E3
2.432076197E2,1.010357513E3
2.442811257E2,1.010363388E3
2.453546687E2,1.010363846E3
2.464282397E2,1.010364380E3
2.475017917E2,1.010365448E3
