"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.244500003E-3,1.474463642E-1,1.723663360E-1,-1.540858865E0
2.209450000E-2,2.826195359E-1,-1.020534933E-1,-1.654153466E0
4.194550000E-2,4.223061800E-1,-2.996965945E-1,-1.543019176E0
6.179550000E-2,5.832542181E-1,-2.232640833E-1,-1.129343748E0
8.164550000E-2,6.264798045E-1,-2.505159378E-1,-4.166484177E-1
1.014965000E-1,6.809602380E-1,-5.394087434E-1,4.325444102E-1
1.213465000E-1,7.729834914E-1,-8.604352474E-1,1.044049025E0
1.411965000E-1,7.829091549E-1,-1.185852170E0,1.391981959E0
1.610475000E-1,7.450543046E-1,-1.473938346E0,1.470826387E0
1.808975000E-1,7.608470917E-1,-1.643420100E0,1.455394387E0
2.007475000E-1,7.342655659E-1,-1.507188082E0,1.361810803E0
2.205985000E-1,6.510878205E-1,-1.148087263E0,1.220927358E0
2.404485000E-1,5.298604369E-1,-5.229378939E-1,9.590539336E-1
2.602985000E-1,3.121240735E-1,2.666688263E-1,6.941605210E-1
2.801495000E-1,4.227830470E-2,1.108654618E0,4.377606809E-1
2.999995000E-1,-3.029195964E-1,1.562153935E0,1.539293528E-1
3.198495000E-1,-4.939558804E-1,1.426610351E0,-1.917048395E-1
3.397005000E-1,-4.883675575E-1,9.084478021E-1,-6.507667899E-1
3.595505000E-1,-4.517203271E-1,2.904716432E-1,-1.205902100E0
3.794015000E-1,-4.245388806E-1,-1.703559011E-1,-1.737184286E0
3.992515000E-1,-3.973881602E-1,-1.164750084E-1,-2.158455849E0
4.191015000E-1,-3.553142250E-1,2.831391990E-1,-2.425746202E0
4.389525000E-1,-2.051109821E-1,6.368133426E-1,-2.481385708E0
4.588025000E-1,2.512763143E-1,6.262562871E-1,-2.202923298E0
4.786525000E-1,9.581893086E-1,4.517271519E-1,-1.450152278E0
4.985035000E-1,1.255383849E0,1.022167951E-1,-2.130570710E-1
5.183535000E-1,1.342276931E0,-1.818120182E-1,8.990108371E-1
5.382035000E-1,1.379506350E0,-9.356602281E-2,1.587109923E0
5.580545000E-1,9.497755766E-1,2.763590813E-1,1.728299737E0
5.779045000E-1,2.226136625E-1,2.621268034E-1,1.607640028E0
5.977555000E-1,-5.969569683E-1,-1.952739954E-1,1.102385521E0
6.176055000E-1,-1.516787648E0,-7.359196544E-1,4.976529777E-1
6.374555000E-1,-2.489157438E0,-1.023319006E0,-1.539034694E-1
6.573065000E-1,-3.249940157E0,-5.664891005E-1,-1.182745457E0
6.771565000E-1,-3.830286503E0,1.153629944E-1,-2.379870892E0
6.970065000E-1,-4.094711304E0,4.347265363E-1,-3.449560881E0
7.168574583E-1,-4.179803848E0,3.265268803E-1,-4.401917458E0
7.367074583E-1,-4.348110676E0,-1.338527203E-1,-5.773977280E0
7.565584583E-1,-4.128308773E0,-8.144741654E-1,-6.989491940E0
7.764084583E-1,-3.840177059E0,-2.612868845E-1,-8.296645164E0
7.962584583E-1,-3.964135885E0,1.344678640E0,-8.685416222E0
8.161094583E-1,-3.718816280E0,1.215077758E0,-8.760727882E0
8.359594583E-1,-2.582059860E0,-2.066938639E0,-7.419793606E0
8.558094583E-1,-6.168220639E-1,-5.280961037E0,-5.132222176E0
8.756604583E-1,2.495196104E0,-5.416875362E0,-1.813880801E0
8.955104583E-1,6.013364792E0,-4.625996113E0,2.093860626E0
9.153604583E-1,8.485563278E0,-3.301539898E0,6.557799339E0
9.352114583E-1,8.635419846E0,-2.672143936E0,1.131260014E1
9.550614583E-1,6.852544785E0,-3.622779846E0,1.431045532E1
9.749124583E-1,4.779529572E0,-4.978549957E0,1.537969875E1
9.947624583E-1,3.276588678E0,-6.034238815E0,1.497875500E1
1.014612458E0,3.663413286E0,-4.568680763E0,1.273384380E1
1.034463458E0,2.714063406E0,-2.118296146E0,9.937168121E0
1.054313458E0,1.542598009E0,8.504697680E-1,6.712892056E0
1.074163458E0,-5.847966671E-1,2.939834118E0,3.694809675E0
1.094014458E0,-2.387934685E0,3.637616873E0,4.430249929E-1
1.113864458E0,-3.096822500E0,3.511714697E0,-2.186625957E0
1.133715458E0,-3.216752529E0,4.329800606E0,-5.271324635E0
1.153565458E0,-3.301449776E0,5.557095528E0,-7.632411003E0
1.173415458E0,-2.868549585E0,6.353959084E0,-8.378891945E0
1.193266458E0,-1.165805697E0,6.341920376E0,-8.108288765E0
1.213116458E0,8.903013468E-1,5.190023899E0,-7.042448521E0
1.232966458E0,3.452605724E0,2.795489550E0,-3.429574728E0
1.252817458E0,5.921590328E0,1.979615450E0,4.751867950E-1
1.272667458E0,7.438175678E0,2.532030106E0,3.533411980E0
1.292518458E0,7.851126671E0,3.505107403E0,5.844339848E0
1.312368458E0,7.157449722E0,4.234073162E0,7.247986794E0
1.332218458E0,5.545897007E0,3.830643177E0,6.383152485E0
1.352069458E0,4.218130112E0,2.265430212E0,4.179385662E0
1.371919458E0,2.513643026E0,9.535577297E-1,2.001921684E-1
1.391769458E0,2.194365978E0,9.000964165E-1,-4.248811245E0
1.411620458E0,2.102920532E0,3.292859316E0,-6.949368000E0
1.431470458E0,2.670760393E0,5.855062962E0,-5.716708183E0
1.451320458E0,2.601670742E0,6.258412838E0,-1.621273398E0
1.471171458E0,1.075664401E0,2.952846766E0,1.571560264E0
1.491021458E0,-5.599352717E-1,-1.401657820E0,2.587703466E0
1.510872458E0,-1.855961680E0,-3.077340364E0,1.970040321E0
1.530722458E0,-2.638511181E0,-1.977846503E0,4.229362607E-1
1.550572458E0,-2.777967691E0,-5.510725975E-1,-1.469973922E0
1.570423458E0,-2.266695976E0,-1.824716181E-1,-3.688507557E0
1.590273458E0,-1.216312528E0,-6.709867120E-1,-5.833675385E0
1.610123458E0,-4.100747406E-1,-8.660284281E-1,-7.791203022E0
1.629974458E0,1.955173612E-1,-6.356274486E-1,-9.151598930E0
1.649824458E0,6.749148369E-1,6.443828940E-1,-1.019913769E1
1.669675458E0,1.060143232E0,2.948790312E0,-1.038838387E1
1.689525458E0,1.472756267E0,3.845080137E0,-1.004645729E1
1.709375458E0,1.482194662E0,-1.509912014E0,-8.384818077E0
1.729225583E0,1.069030404E0,-7.636925697E0,-5.673618317E0
1.749075583E0,1.483269691E0,-8.346220970E0,-1.727376461E0
1.768925583E0,3.503298283E0,-5.308607101E0,3.555698633E0
1.788776583E0,4.890361309E0,-5.094481468E0,9.227669716E0
1.808626583E0,4.777452946E0,-6.947605133E0,1.378697872E1
1.828477583E0,3.061195374E0,-6.974340916E0,1.652405357E1
1.848327583E0,8.108876348E-1,-6.875566483E0,1.723385048E1
1.868177583E0,7.899321318E-1,-7.854573250E0,1.627291679E1
1.888028583E0,2.158306360E0,-5.363962173E0,1.409581184E1
1.907878583E0,1.180269003E0,-7.012351751E-1,1.139077377E1
1.927728583E0,1.379756570E0,2.941914320E0,7.637385845E0
1.947579583E0,-2.068832517E-1,5.153268814E0,3.239290237E0
1.967429583E0,-1.276102781E0,6.380868912E0,-1.684792876E0
1.987280583E0,-1.732223153E0,5.771474838E0,-5.585659504E0
2.007130583E0,-1.301940680E0,5.175120831E0,-8.752647400E0
2.026980583E0,-2.354608923E-1,6.200078011E0,-9.509657860E0
2.046831583E0,1.829209805E0,8.207372665E0,-8.098311424E0
2.066681583E0,4.147653103E0,6.984390736E0,-5.034598827E0
2.086531583E0,5.321708679E0,2.171099186E0,-8.024502397E-1
2.106382583E0,5.708990574E0,-7.824530602E-1,2.255954027E0
2.126232583E0,6.107821465E0,-5.876129493E-3,4.355107307E0
2.146082583E0,5.991274357E0,1.507345915E0,5.885581017E0
2.165933583E0,5.411044598E0,3.098266363E0,5.759403229E0
2.185783583E0,4.080640793E0,3.434466124E0,3.310727119E0
2.205634583E0,3.582693100E0,-4.517561793E-1,-9.673164487E-1
2.225484583E0,2.775052309E0,-3.005577326E0,-4.261800766E0
2.245334583E0,2.389646292E0,2.024122700E-2,-4.741606236E0
2.265185583E0,2.523312330E0,4.870465755E0,-1.862649202E0
2.285035583E0,1.842248917E0,4.599732876E0,1.129801869E0
2.304885583E0,6.281737089E-1,1.364823729E-1,2.092235088E0
2.324736583E0,-2.909586728E-1,-3.370209455E0,1.398796558E0
2.344586583E0,-6.592705250E-1,-3.840976477E0,-1.074487902E-2
2.364437583E0,-4.445070028E-1,-2.457879543E0,-1.506860495E0
2.384287583E0,5.536587909E-2,-6.104980707E-1,-2.818712234E0
2.404137583E0,6.430596709E-1,9.267985225E-1,-3.464805603E0
2.423988583E0,9.812399149E-1,1.656004071E0,-3.702101946E0
2.443838583E0,1.103605032E0,5.919620395E-1,-3.412825346E0
2.463688583E0,9.811658263E-1,-8.020747304E-1,-3.459307671E0
2.483539583E0,8.168016672E-1,-6.931948066E-1,-3.570564747E0
2.503389583E0,3.911980987E-1,8.262658119E-1,-4.077307701E0
2.523240583E0,-5.153802224E-3,1.815589428E0,-4.510073185E0
2.543090583E0,-4.472294152E-1,1.378943682E0,-5.103930950E0
