"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.604166687E-4,-4.253255310E0,-4.707710266E-1,2.322420502E0
2.071241667E-2,-3.094215546E0,-4.683760071E-1,2.322270813E0
4.056341667E-2,-1.649869080E0,-4.972659302E-1,2.469714203E0
6.041541667E-2,2.375559998E-1,-6.123765564E-1,2.327060852E0
8.026641667E-2,5.539979553E-1,-1.297801208E-1,1.741927643E0
1.001184167E-1,-4.035607910E-1,1.152603149E-1,1.032103729E0
1.199694167E-1,-2.257156219E0,-2.871029663E-1,8.454418945E-1
1.398204167E-1,-4.606071625E0,-4.082011414E-1,1.120569763E0
1.596724167E-1,-6.562952271E0,3.448828125E-1,2.074086914E0
1.795234167E-1,-8.465196533E0,1.518592072E0,3.491040344E0
1.993754167E-1,-1.008677444E1,2.948867798E0,5.366640015E0
2.192264167E-1,-1.185983734E1,4.625980225E0,7.141199799E0
2.390784167E-1,-1.346240479E1,5.775739288E0,7.887847137E0
2.589294167E-1,-1.563678314E1,6.562952271E0,6.897955627E0
2.787814167E-1,-1.939501785E1,7.040010223E0,3.724255371E0
2.986324167E-1,-2.220228012E1,8.115224304E0,-1.489851837E0
3.184844167E-1,-2.202310272E1,9.789642334E0,-6.311026154E0
3.383354167E-1,-1.962044907E1,1.023152344E1,-8.951235809E0
3.581874167E-1,-1.549921921E1,8.833580475E0,-8.716224518E0
3.780384167E-1,-1.124252106E1,6.655609589E0,-6.533463593E0
3.978904167E-1,-7.607031097E0,4.118685150E0,-3.338507538E0
4.177414167E-1,-4.070635071E0,2.089504852E0,3.876937866E-1
4.375934167E-1,-4.474195862E-1,5.574407959E-1,4.359534302E0
4.574444167E-1,3.115770721E0,-3.447331238E-1,7.632927246E0
4.772954167E-1,6.203399963E0,-3.126997375E-1,9.476194153E0
4.971474167E-1,7.218588867E0,-3.514691162E-1,9.766290894E0
5.169984167E-1,7.201224976E0,-1.139280853E0,8.666976929E0
5.368504167E-1,6.067482605E0,-1.129251709E0,6.459966431E0
5.567014167E-1,4.208648071E0,-7.617658997E-1,3.792214050E0
5.765534167E-1,2.459535370E0,-1.953437805E-1,9.672885132E-1
5.964044167E-1,8.339158630E-1,6.125262451E-1,-2.205064545E0
6.162564167E-1,-3.884422302E-1,2.302511902E0,-6.000272369E0
6.361074167E-1,-1.530417480E0,3.056194611E0,-9.046437836E0
6.559594167E-1,-3.028202820E0,2.525997162E0,-1.033840118E1
6.758104167E-1,-3.253933411E0,1.163530426E0,-1.079345490E1
6.956624167E-1,-5.383105774E0,-4.634362793E-1,-1.220921082E1
7.155134167E-1,-9.253906403E0,-1.692380676E0,-1.430305664E1
7.353644167E-1,-1.539698181E1,-2.876568146E0,-1.775981827E1
7.552164167E-1,-2.059267731E1,-1.765279083E0,-2.138947037E1
7.750674167E-1,-2.613565063E1,2.149380341E0,-2.756068726E1
7.949194167E-1,-3.809069000E1,7.571704559E0,-3.976091675E1
8.147704167E-1,-4.124552948E1,1.611713425E1,-5.418746658E1
8.346224167E-1,-4.652190720E1,2.141342056E1,-7.317772614E1
8.544734167E-1,-4.217524612E1,1.486843094E1,-7.899897079E1
8.743244167E-1,-3.509571808E1,-4.032464447E0,-7.872953110E1
8.941764167E-1,-2.927387466E1,-2.546803894E1,-7.853463638E1
9.140274167E-1,-2.763613037E1,-4.450649826E1,-7.838839050E1
9.338794167E-1,-2.775603104E1,-6.548926437E1,-7.824498871E1
9.537304167E-1,-1.980396744E1,-7.377633133E1,-6.928626846E1
9.735814167E-1,-2.083666992E-1,-7.856607101E1,-3.983142014E1
9.934325417E-1,1.403511383E1,-7.830157104E1,-6.579118652E0
1.013283542E0,7.623347168E0,-7.587122498E1,1.851679413E1
1.033135542E0,3.805087280E-1,-6.124768478E1,3.098781052E1
1.052986542E0,-2.083666992E0,-5.169574814E1,2.989583130E1
1.072837542E0,-7.617658997E0,-4.676694763E1,1.400487671E1
1.092689542E0,-1.064511337E1,-4.188769409E1,-1.008408005E1
1.112540542E0,-1.228405518E1,-3.360047745E1,-3.159375046E1
1.132392542E0,-1.200518509E1,-2.581501740E1,-4.593857025E1
1.152243542E0,-1.835587875E1,-1.361089600E1,-6.162624756E1
1.172095542E0,-2.580902985E1,2.958597565E0,-7.142756561E1
1.191946542E0,-2.811243988E1,2.579780319E1,-7.503207001E1
1.211797542E0,-2.992726593E1,4.447012390E1,-6.839053116E1
1.231649542E0,-2.180006653E1,4.492248322E1,-5.568061157E1
1.251500542E0,-1.422282349E1,3.166096069E1,-3.894571198E1
1.271352542E0,-6.157595215E0,1.251307892E1,-1.898531982E1
1.291203542E0,1.306168808E1,-3.682043152E0,7.100783844E0
1.311055542E0,4.259212921E1,-1.447534836E1,2.384002441E1
1.330906542E0,5.011308929E1,-9.938133545E0,1.975352234E1
1.350758542E0,2.046229843E1,-9.170978851E0,6.605463867E0
1.370609542E0,-3.411076630E1,-1.019275406E1,-5.785768433E0
1.390461542E0,-3.964026764E1,-4.858895874E-1,-1.336016739E1
1.410312542E0,-1.926538742E1,8.294252014E0,-9.407487030E0
1.430163542E0,-3.202290802E0,8.015980682E0,-1.363364868E0
1.450015542E0,1.662368088E1,7.077133026E0,6.040239258E0
1.469866542E0,2.004466690E1,4.374802551E0,7.363487549E0
1.489718542E0,-1.218466187E0,-1.401834869E0,4.910837860E0
1.509569542E0,-1.525926819E1,2.020648041E0,2.106569366E0
1.529421542E0,-1.786489975E1,4.894821167E0,5.560935974E-1
1.549272542E0,-1.485705460E1,6.553222504E0,2.201921082E0
1.569124542E0,-8.819809113E0,6.089935913E0,4.846771088E0
1.588975542E0,-1.766925659E0,4.057163086E0,6.640940094E0
1.608827542E0,3.478616180E0,1.837129669E0,7.091203766E0
1.628678542E0,5.200186157E0,2.383044434E-1,6.223607941E0
1.648530542E0,5.409750366E0,-8.875044250E-1,4.583768005E0
1.668381542E0,4.176614685E0,-3.395089874E0,3.036136322E0
1.688233542E0,2.877765656E0,-3.958667908E0,1.350341949E0
1.708084542E0,9.499246216E-1,-4.518952789E0,-1.610201569E0
1.727935542E0,-1.145118713E-1,-2.942281494E0,-5.185816040E0
1.747787542E0,3.460803223E-1,-2.473755798E0,-7.746391296E0
1.767638542E0,1.068478088E0,-3.223696289E0,-1.088775879E1
1.787490542E0,9.988728333E-1,-3.721560974E0,-1.498189499E1
1.807341542E0,-4.374054108E0,-6.786138153E0,-2.517913971E1
1.827193542E0,-2.873978531E1,-7.863747253E0,-4.798137222E1
1.847044542E0,-4.134537186E1,-8.239765320E0,-7.567453400E1
1.866896542E0,-3.911815338E1,9.891280975E0,-7.876530670E1
1.886747542E0,-3.790851883E1,2.000080811E1,-7.891424698E1
1.906599542E0,-4.050457031E1,7.294481049E0,-7.884718643E1
1.926450542E0,-3.893897598E1,-1.879551453E1,-7.865468674E1
1.946302542E0,-3.190450424E1,-4.202944931E1,-7.844048218E1
1.966153542E0,-3.068828339E1,-6.391483841E1,-7.827866867E1
1.986004542E0,-3.679797821E1,-7.874300308E1,-7.822403229E1
2.005856958E0,-2.272229874E1,-7.862714401E1,-7.811550797E1
2.025707958E0,-8.153394928E0,-7.857699829E1,-7.227495346E1
2.045559958E0,3.324601456E1,-7.837940918E1,-3.344689682E1
2.065410958E0,1.910177765E1,-7.825456879E1,3.420387268E0
2.085262958E0,2.142973663E1,-7.813811096E1,2.286210800E1
2.105113958E0,9.396260376E0,-6.669126480E1,3.522864166E1
2.124965958E0,5.119204559E0,-5.475358932E1,3.673675552E1
2.144816958E0,-2.046394501E0,-4.355851959E1,2.306209213E1
2.164667958E0,-7.204667816E0,-3.587799133E1,-3.959865417E0
2.184519958E0,-6.286177826E0,-2.416245392E1,-2.996079620E1
2.204370958E0,-4.693340149E0,-1.854613312E1,-5.255211731E1
2.224222958E0,-2.268981628E0,-7.374414825E0,-6.084786621E1
2.244073958E0,-4.684658203E0,-1.618284760E0,-5.142091965E1
2.263925958E0,-7.266040192E0,4.504432983E0,-3.965538620E1
2.283776958E0,-1.188947571E1,1.154159912E1,-2.996872971E1
2.303628958E0,-2.039643539E1,1.488504639E1,-2.281046539E1
2.323479958E0,-3.130979095E1,1.734024078E1,-2.423879517E1
2.343330958E0,-3.775224380E1,2.043146255E1,-2.841017075E1
2.363182958E0,-3.436568619E1,2.079834961E1,-3.147744232E1
2.383033958E0,-3.274201263E1,1.889056686E1,-3.067002136E1
2.402885958E0,-2.847154312E1,1.430964294E1,-2.380544632E1
2.422736958E0,-1.704191116E1,5.057233429E0,-1.482068024E1
2.442588958E0,-1.306782532E0,-3.563938751E0,-6.579717407E0
2.462439958E0,2.119083344E1,-7.288493500E0,-8.033793640E-1
2.482291958E0,4.271846649E1,-3.071462860E0,2.087409210E0
2.502142958E0,4.234604095E1,-5.620811462E-1,-1.227447510E0
2.521994958E0,1.510164597E1,-3.372187500E0,-1.945653992E0
2.541845958E0,-3.458602798E1,-9.176517334E0,-5.600154419E0
2.561697958E0,-4.416790237E1,-8.301736450E-1,-1.346120728E1
2.581548958E0,-2.399794601E1,1.157602753E1,-1.130299530E1
2.601400958E0,-1.162332916E0,1.053673874E1,-3.602109375E0
2.621251958E0,1.277189072E1,8.444090424E0,2.900518341E0
2.641102958E0,1.472951981E1,4.737947388E0,6.172115021E0
2.660954958E0,7.804470520E0,1.239422607E0,8.209827576E0
2.680805958E0,-4.805007935E-1,1.493294678E0,9.943672028E0
2.700657958E0,-6.515800323E0,7.149133301E-1,1.032822235E1
2.720508958E0,-6.556216278E0,2.930905151E-1,9.802665253E0
2.740360958E0,-1.372795258E0,6.212081909E-1,8.810678101E0
2.760211958E0,5.094356232E0,1.178798676E0,6.821165314E0
2.780063958E0,7.109615479E0,6.048921204E-1,4.316723328E0
2.799914958E0,6.268813934E0,-1.038839722E0,2.356399841E0
2.819766958E0,2.410886536E0,-4.072431335E0,8.544232178E-1
2.839617958E0,-1.171613617E0,-4.053869934E0,-1.675166473E0
2.859469958E0,-1.898951111E0,-2.300865326E0,-5.150489502E0
2.879320958E0,-2.783312073E0,-2.592758331E0,-8.461753693E0
2.899171958E0,-5.563031616E0,-4.515959015E0,-1.013362701E1
2.919023958E0,-6.618935852E0,-6.316864014E0,-1.093296478E1
2.938874958E0,-1.175535461E1,-9.217382355E0,-1.452998474E1
2.958726958E0,-1.959155914E1,-6.810836792E0,-2.136701706E1
2.978577958E0,-2.935770035E1,-8.046666870E0,-3.624068710E1
2.998429667E0,-2.593491806E1,-2.366279297E0,-5.132407104E1
3.018280667E0,-3.092673752E1,-2.882705383E0,-6.845310104E1
3.038132667E0,-2.699052292E1,5.198988647E0,-7.792001450E1
3.057983667E0,-2.294922684E1,2.741548920E0,-7.863822098E1
3.077835667E0,-2.793969910E1,-1.438164322E1,-7.860005035E1
3.097686667E0,-3.191348557E1,-3.467958344E1,-7.849092728E1
3.117537667E0,-2.963582199E1,-6.038951935E1,-7.829633194E1
3.137389667E0,-2.972443771E1,-7.901244278E1,-7.816670151E1
3.157240667E0,-2.934018677E1,-7.862175522E1,-7.816774933E1
3.177092667E0,-1.626667328E1,-7.860828323E1,-7.806551193E1
3.196943667E0,4.774172058E0,-7.850155518E1,-5.659580841E1
3.216795667E0,3.799863144E1,-7.831339645E1,-1.771625885E1
3.236646667E0,2.030946625E1,-7.821355408E1,1.408256516E1
3.256498667E0,1.648821259E1,-7.641369690E1,2.696926712E1
3.276349667E0,3.186573486E0,-6.169600250E1,3.564387817E1
3.296200667E0,-2.429298248E0,-5.090868484E1,3.397739365E1
3.316052667E0,-4.579576721E0,-3.941393829E1,1.384590729E1
3.335903667E0,-5.265600128E0,-2.965243744E1,-1.213990494E1
3.355755667E0,-2.707569580E0,-2.017354889E1,-3.194237549E1
3.375606667E0,9.614506531E-1,-1.242251724E1,-3.873554901E1
3.395458667E0,1.602717133E0,-6.663243713E0,-3.834590927E1
3.415309667E0,-1.453327789E0,-4.241579590E0,-3.584580826E1
3.435160667E0,-8.076305237E0,3.833528137E-1,-3.380135971E1
3.455012667E0,-1.465302887E1,5.499114532E0,-3.240326706E1
3.474863667E0,-2.017384827E1,9.042246552E0,-3.377411636E1
3.494715667E0,-2.649580170E1,1.453118225E1,-3.499378006E1
3.514566667E0,-3.130500092E1,1.953826996E1,-3.601929749E1
3.534418667E0,-2.813414474E1,2.190784241E1,-3.689572495E1
3.554269667E0,-2.653352325E1,1.972972183E1,-3.648093750E1
3.574121667E0,-2.551219711E1,1.698368225E1,-3.542443451E1
3.593972667E0,-2.126537842E1,1.248673370E1,-2.979583923E1
3.613824667E0,-1.614018631E1,3.481909332E0,-2.224733643E1
3.633675667E0,-8.581504669E0,-5.343438263E0,-1.470137833E1
3.653526667E0,1.447789307E0,-1.270108795E1,-1.014066238E1
3.673378667E0,1.241368561E1,-1.405861496E1,-6.659351807E0
