"Time (s)","X (hPa)"
-5.651263333E-1,1.010499878E3
4.413546667E-1,1.010508728E3
1.447782667E0,1.010501099E3
2.454219667E0,1.010511017E3
3.460688667E0,1.010511017E3
3.811003667E0,1.010520401E3
4.884591667E0,1.010530701E3
5.958120667E0,1.010531998E3
7.031633667E0,1.010531998E3
8.105128667E0,1.010531998E3
9.178693667E0,1.010531616E3
1.025229167E1,1.010531616E3
1.132588867E1,1.010537949E3
1.239942667E1,1.010537949E3
1.347297567E1,1.010524445E3
1.454659867E1,1.010509872E3
1.562021367E1,1.010504608E3
1.669379167E1,1.010487213E3
1.776741567E1,1.010487213E3
1.884107567E1,1.010497665E3
1.991468967E1,1.010506363E3
2.098829167E1,1.010534973E3
2.206189167E1,1.010548553E3
2.313549367E1,1.010548553E3
2.420908767E1,1.010556183E3
2.528271567E1,1.010555801E3
2.635632467E1,1.010555801E3
2.742988467E1,1.010539627E3
2.850341767E1,1.010539627E3
2.957693567E1,1.010544357E3
3.065044367E1,1.010544357E3
3.172397867E1,1.010544357E3
3.279750267E1,1.010544052E3
3.387102767E1,1.010539322E3
3.494457467E1,1.010529633E3
3.601810367E1,1.010526276E3
3.709171667E1,1.010529633E3
3.816529267E1,1.010526276E3
3.923879767E1,1.010531616E3
4.031233467E1,1.010534134E3
4.138588167E1,1.010534134E3
4.245936067E1,1.010536423E3
4.353284967E1,1.010536423E3
4.460637567E1,1.010540619E3
4.567986667E1,1.010540619E3
4.675335667E1,1.010540619E3
4.782690067E1,1.010541534E3
4.890046767E1,1.010541840E3
4.997404667E1,1.010549011E3
5.104763167E1,1.010552368E3
5.212121167E1,1.010552902E3
5.319480467E1,1.010552368E3
5.426839367E1,1.010539627E3
5.534199267E1,1.010536194E3
5.641553067E1,1.010535355E3
5.748913067E1,1.010531616E3
5.856267367E1,1.010526123E3
5.963620667E1,1.010522919E3
6.070976967E1,1.010510788E3
6.178332367E1,1.010506973E3
6.285685867E1,1.010503006E3
6.393043267E1,1.010492477E3
6.500395767E1,1.010492477E3
6.607748267E1,1.010491333E3
6.715102467E1,1.010496368E3
6.822453767E1,1.010493011E3
6.929804767E1,1.010493011E3
7.037154767E1,1.010488663E3
7.144508667E1,1.010488663E3
7.251860767E1,1.010488663E3
7.359215967E1,1.010483856E3
7.466566267E1,1.010475388E3
7.573923167E1,1.010473328E3
7.681275867E1,1.010458908E3
7.788630867E1,1.010458908E3
7.895987567E1,1.010469513E3
8.003341167E1,1.010476608E3
8.110697167E1,1.010487747E3
8.218052467E1,1.010488052E3
8.325407667E1,1.010504684E3
8.432759767E1,1.010507126E3
8.540110867E1,1.010511627E3
8.647466967E1,1.010511627E3
8.754819867E1,1.010511627E3
8.862172867E1,1.010496368E3
8.969522767E1,1.010473328E3
9.076867667E1,1.010470581E3
9.184210967E1,1.010463333E3
9.291559867E1,1.010463333E3
9.398912067E1,1.010468903E3
9.506263967E1,1.010480652E3
9.613616567E1,1.010490570E3
9.720975267E1,1.010490570E3
9.828334167E1,1.010475388E3
9.935685867E1,1.010473328E3
1.004303697E2,1.010460434E3
1.015038757E2,1.010460434E3
1.025773767E2,1.010466766E3
1.036508737E2,1.010493622E3
1.047244077E2,1.010524597E3
1.057979957E2,1.010536423E3
1.068715397E2,1.010539780E3
1.079450447E2,1.010539780E3
1.090185487E2,1.010521317E3
1.100920517E2,1.010506058E3
1.111655617E2,1.010506058E3
1.122390707E2,1.010506516E3
1.133125697E2,1.010506516E3
1.143861007E2,1.010499115E3
1.154596977E2,1.010487823E3
1.165333027E2,1.010480042E3
1.176068767E2,1.010479355E3
1.186804277E2,1.010470047E3
1.197539537E2,1.010470047E3
1.208274597E2,1.010475159E3
1.219009607E2,1.010476379E3
1.229744777E2,1.010483170E3
1.240480147E2,1.010494461E3
1.251215767E2,1.010509949E3
1.261951317E2,1.010511398E3
1.272686157E2,1.010514145E3
1.283421067E2,1.010514297E3
1.294156107E2,1.010514297E3
1.304890867E2,1.010498962E3
1.315625907E2,1.010478134E3
1.326360717E2,1.010466385E3
1.337095367E2,1.010449066E3
1.347830417E2,1.010449066E3
1.358565187E2,1.010451126E3
1.369300527E2,1.010458374E3
1.380036467E2,1.010466766E3
1.390772267E2,1.010475006E3
1.401507497E2,1.010477448E3
1.412243077E2,1.010477676E3
1.422978257E2,1.010477448E3
1.433713317E2,1.010477676E3
1.444448427E2,1.010484009E3
1.455184067E2,1.010484161E3
1.465919477E2,1.010484009E3
1.476655267E2,1.010476685E3
1.487391127E2,1.010468445E3
1.498126887E2,1.010463333E3
1.508862387E2,1.010452271E3
1.519598187E2,1.010452271E3
1.530333977E2,1.010452271E3
1.541069567E2,1.010452805E3
1.551804887E2,1.010453033E3
1.562539697E2,1.010464859E3
1.573274697E2,1.010468445E3
1.584009917E2,1.010468445E3
1.594745677E2,1.010462112E3
1.605480907E2,1.010462112E3
1.616216087E2,1.010465698E3
1.626951687E2,1.010467834E3
1.637687437E2,1.010470963E3
1.648423217E2,1.010480042E3
1.659159397E2,1.010483170E3
1.669895327E2,1.010483170E3
1.680631347E2,1.010482101E3
1.691366987E2,1.010482101E3
1.702102677E2,1.010491180E3
1.712838287E2,1.010499954E3
1.723573557E2,1.010501099E3
1.734309107E2,1.010501099E3
1.745044267E2,1.010494461E3
1.755779507E2,1.010492249E3
1.766514027E2,1.010488434E3
1.777249227E2,1.010488434E3
1.787984687E2,1.010496902E3
1.798720587E2,1.010501633E3
1.809456147E2,1.010506134E3
1.820191967E2,1.010506134E3
1.830927767E2,1.010506516E3
1.841663547E2,1.010506516E3
1.852399487E2,1.010505829E3
1.863134637E2,1.010502167E3
1.873870257E2,1.010503769E3
1.884605497E2,1.010503387E3
1.895341087E2,1.010503387E3
1.906076197E2,1.010498734E3
1.916811287E2,1.010488663E3
1.927546067E2,1.010474472E3
1.938281437E2,1.010474472E3
1.949016277E2,1.010481033E3
1.959750917E2,1.010481415E3
1.970485887E2,1.010486908E3
1.981221297E2,1.010488052E3
1.991956517E2,1.010488052E3
2.002691107E2,1.010488052E3
2.013425907E2,1.010487518E3
2.024161347E2,1.010489731E3
2.034896487E2,1.010496063E3
2.045631117E2,1.010496063E3
2.056365787E2,1.010493088E3
2.067100517E2,1.010484238E3
2.077835647E2,1.010476608E3
2.088571207E2,1.010475769E3
2.099306487E2,1.010475769E3
2.110041527E2,1.010475769E3
2.120776457E2,1.010478745E3
2.131511627E2,1.010480804E3
2.142246807E2,1.010482483E3
2.152981667E2,1.010482483E3
2.163716297E2,1.010482483E3
2.174451127E2,1.010487137E3
2.185185897E2,1.010504150E3
2.195920577E2,1.010504837E3
2.206655177E2,1.010506134E3
2.217389887E2,1.010506134E3
2.228124387E2,1.010506134E3
2.238859067E2,1.010503998E3
2.249594117E2,1.010503998E3
2.260328987E2,1.010507736E3
2.271063667E2,1.010507736E3
2.281798447E2,1.010504837E3
2.292533367E2,1.010500412E3
2.303267777E2,1.010499573E3
2.314002237E2,1.010500031E3
2.324737367E2,1.010500031E3
2.335472157E2,1.010504608E3
2.346206777E2,1.010506058E3
2.356942197E2,1.010507126E3
2.367677837E2,1.010509109E3
2.378412997E2,1.010509109E3
2.389147927E2,1.010509109E3
2.399883287E2,1.010511780E3
2.410618437E2,1.010516586E3
2.421353457E2,1.010516586E3
2.432088707E2,1.010520630E3
2.442824547E2,1.010527420E3
2.453560137E2,1.010537949E3
2.464295557E2,1.010539322E3
2.475031287E2,1.010541306E3
2.485766837E2,1.010541306E3
2.496502057E2,1.010535355E3
2.507237417E2,1.010534592E3
2.517972447E2,1.010534592E3
2.528707527E2,1.010534592E3
2.539442807E2,1.010537033E3
2.550177657E2,1.010538254E3
2.560912737E2,1.010538254E3
2.571647937E2,1.010530930E3
2.582383357E2,1.010530167E3
2.593118747E2,1.010526505E3
2.603854577E2,1.010526505E3
2.614590197E2,1.010527725E3
2.625325667E2,1.010527725E3
2.636061287E2,1.010527725E3
2.646796577E2,1.010535355E3
2.657532277E2,1.010538101E3
2.668267957E2,1.010541458E3
2.679003337E2,1.010541458E3
2.689739057E2,1.010539780E3
2.700475057E2,1.010539780E3
2.711211517E2,1.010549850E3
2.721947367E2,1.010551834E3
2.732683127E2,1.010560150E3
2.743418897E2,1.010564041E3
2.754154657E2,1.010564041E3
2.764890487E2,1.010557098E3
2.775626137E2,1.010544815E3
2.786361557E2,1.010532990E3
2.797096707E2,1.010532150E3
2.807832577E2,1.010527115E3
2.818567687E2,1.010527115E3
2.829303237E2,1.010525665E3
2.840038467E2,1.010514679E3
2.850773847E2,1.010509262E3
2.861509297E2,1.010496674E3
2.872244657E2,1.010487213E3
2.882979657E2,1.010487213E3
2.893714817E2,1.010489731E3
2.904450217E2,1.010497665E3
2.915185937E2,1.010498734E3
2.925921997E2,1.010498734E3
2.936657457E2,1.010498505E3
2.947392717E2,1.010496216E3
2.958128107E2,1.010496216E3
2.968863867E2,1.010500183E3
