"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.574941667E-2,-4.560210705E-1,-1.278257817E-1,1.098997831E0
3.560041667E-2,-4.233501256E-1,3.945489228E-2,6.618481278E-1
5.545241667E-2,-2.576179504E-1,3.836400807E-1,3.652938455E-2
7.530341667E-2,-8.599450439E-2,8.378071785E-1,-6.028711200E-1
9.515541667E-2,-2.995912544E-2,1.214672089E0,-1.099814415E0
1.150064167E-1,-6.255660206E-3,1.468108416E0,-1.455045462E0
1.348584167E-1,-3.664670745E-3,1.516014457E0,-1.733237147E0
1.547094167E-1,4.187884182E-2,1.333269000E0,-1.946185946E0
1.745614167E-1,2.404929250E-1,9.991080165E-1,-2.132143736E0
1.944124167E-1,4.276656508E-1,6.537330151E-1,-2.278371811E0
2.142634167E-1,7.161051035E-1,3.871192336E-1,-2.336729765E0
2.341154167E-1,1.175328970E0,3.447824717E-1,-2.246547699E0
2.539664167E-1,1.606274843E0,7.293923497E-1,-1.899515271E0
2.738184167E-1,1.889559865E0,1.304533005E0,-1.246840239E0
2.936694167E-1,1.757988334E0,1.699736118E0,-2.502093017E-1
3.135214167E-1,9.853562713E-1,1.613946676E0,7.261610627E-1
3.333724167E-1,-1.126207635E-1,5.788254738E-1,1.257522106E0
3.532244167E-1,-1.050957441E0,-1.027919888E0,1.297676563E0
3.730754167E-1,-1.758790016E0,-2.460126877E0,1.070137262E0
3.929274167E-1,-2.287361860E0,-3.443771362E0,7.702637315E-1
4.127784167E-1,-2.560734987E0,-3.977424622E0,4.279693961E-1
4.326304167E-1,-2.419041395E0,-4.106992722E0,-2.117451280E-2
4.524814167E-1,-1.832517862E0,-3.743041277E0,-6.180596352E-1
4.723334167E-1,-1.059096813E0,-2.838757753E0,-1.360981345E0
4.921844167E-1,-3.618811369E-1,-1.779581904E0,-2.130721331E0
5.120354167E-1,3.469399214E-1,-8.383107185E-1,-2.845901966E0
5.318874167E-1,8.840873241E-1,-7.674570382E-2,-3.558080912E0
5.517384167E-1,1.250292182E0,4.641796947E-1,-4.067216396E0
5.715904167E-1,1.480860829E0,9.421962500E-1,-4.387725830E0
5.914414167E-1,1.433199048E0,1.512241960E0,-4.583025932E0
6.112934167E-1,1.038586497E0,2.220652580E0,-4.563504696E0
6.311444167E-1,3.478246331E-1,2.928076267E0,-4.369077682E0
6.509964167E-1,-4.782086611E-1,3.352848530E0,-3.864689350E0
6.708474167E-1,-1.120896816E0,3.975742817E0,-3.555287361E0
6.906994167E-1,-1.860563159E0,5.309523106E0,-3.696583271E0
7.105504167E-1,-3.040089846E0,6.643699646E0,-3.487734318E0
7.304024167E-1,-3.657059908E0,7.783239841E0,-3.044317007E0
7.502534167E-1,-3.418952942E0,8.186001778E0,-2.551342249E0
7.701044167E-1,-3.002164125E0,8.609716415E0,-2.602299929E0
7.899564167E-1,-3.065814972E0,7.243257046E0,-1.708921671E0
8.098074167E-1,-4.462955952E0,5.633614063E0,-8.323736191E-1
8.296594167E-1,-7.336953640E0,3.595760345E0,1.353328973E-1
